Year,WeekNumber,StoreID,Product,Price,OnFlyer,Discount,Units,SalesAmt,GrossMargin,Transactions
2022,4,CA1674,Pantene,4.79,Yes,0.4,33,158.07,22.77,23
2022,6,CA2110,Pantene,3.99,Yes,0.5,9,35.91,-0.99,4
2021,23,CA2020,Pantene,7.99,no,0.0,5,39.95,19.45,5
2021,12,CA2016,Pantene,3.99,Yes,0.5,22,87.78,-2.42,10
2021,18,CA1778,AUSSIE,3.99,YES,20%,13,51.87,15.47,9
2021,22,CA1691,Pantene,3.99,Yes,0.5,58,231.42,-6.38,27
2021,40,CA1997,Pantene,5.29,yes,0.35,14,74.06,16.66,11
2021,7,CA1920,Aussie,4.99,No,0%,6,29.94,13.14,6
2021,17,CA2150,Aussie,4.99,NO,0.0,1,4.99,2.19,1
2021,25,CA2258,Pantene,6.79,Yes,0.15,1,6.79,2.69,1
2021,12,CA1072,Pantene,3.99,Yes,50%,91,363.09,-10.01,41
2021,16,CA2044,Pantene,7.99,No,0%,1,7.99,3.89,1
2021,20,CA1002,Pantene,6.49,Yes,0.2,20,129.8,47.8,18
2022,12,CA1165,Pantene,3.99,Yes,0.5,78,311.22,-8.58,37
2021,19,CA1431,Aussie,3.29,Yes,0.35,40,131.6,19.6,17
2022,4,CA1510,Pantene,4.79,Yes,0.4,33,158.07,22.77,23
2021,6,CA1134,Pantene,3.99, Yes,0.5,60,239.4,-6.6,27
2021,4,CA1363,Pantene,7.49,Yes,0.05,15,112.35,50.85,14
2021,26,CA1485,Pantene,7.49,Yes,0.05,6,44.94,20.34,6
2021,35,CA1400,Pantene,6.79,Yes,0.15,19,129.01,51.11,18
2022,7,CA1685,Pantene,7.99, No,0.0,6,47.94,23.34,6
2022,4,CA2180,Pantene,4.79,Yes,0.4,5,23.95,3.45,3
2022,5,CA1877,Pantene,7.99,No,0.0,6,47.94,23.34,6
2021,31,CA1020,Pantene,5.49,NO,0.3,27,148.23,37.53,22
2021,9,CA2069,Pantene,4.79,Yes,40%,5,23.95,3.45,4
2021,6,CA1049,PANTENE,3.99,YES,0.5,64,255.36,-7.04,29
2021,17,CA1980,Aussie,4.99,No,0.0,7,34.93,15.33,7
2021,38,CA2203,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,24,CA1009,Aussie,3.49,NO,0.3,41,143.09,28.29,22
2022,13,CA1149,Pantene,7.99,No,0.0,12,95.88,46.68,12
2021,30,CA1209,Aussie,4.99,No,0%,14,69.86,30.66,14
2021,50,CA1218,Pantene,3.99,Yes,50%,88,351.12,-9.68,42
2021,16,CA1687,Pantene,7.99, No,0.0,8,63.92,31.12,7
2021,7,CA1811,PANTENE,,No,0.0,6,47.94,23.34,5
2021,19,CA2065,Aussie,3.29,Yes,0.35,8,26.32,3.92,3
2021,4,CA1270,Aussie,4.99,No,0.0,14,69.86,30.66,13
2021,8,CA1737,Aussie,2.99,Yes,0.4,37,110.63,7.03,15
2021,25,CA1072,Aussie,4.99,No,0.0,17,84.83,37.23,17
2022,11,CA2119,PANTENE,7.99,NO,0.0,2,15.98,7.78,1
2021,23,CA1247,Pantene,7.99,No,0.0,14,111.86,54.46,13
2021,32,CA2274,Aussie,3.49,No,0.3,1,3.49,0.69,1
2021,6,CA2266,Pantene,3.99,Yes,0.5,2,7.98,-0.22,1
2021,16,CA1715,Aussie,3.29,Yes,0.35,24,78.96,11.76,11
2021,3,CA1304,Pantene,,Yes,0.3,28,153.72,38.92,22
2021,37,CA2260, Aussie,4.99,No,0.0,1,4.99,2.19,1
2021,50,CA2249,Aussie,3.29,no,35.0,5,16.45,2.45,2
2021,20,CA1288,aussie,4.99,No,0.0,11,54.89,24.09,10
2021,20,CA1691,Pantene,6.49,Yes,0.2,15,97.35,35.85,13
2021,15,CA1958,AUSSIE,4.29,yes,15.0,8,34.32,12.06,6
2021,17,CA1856,Aussie,4.99,No,0%,7,34.93,15.33,7
2021,25,CA1774,Aussie,4.99,No,0.0,5,24.95,10.95,5
2021,32,CA1957,Aussie,3.49,No,0.3,18,62.82,12.42,10
2021,19,CA1331,Pantene,6.79,Yes,15.0,21,142.59,56.49,19
2021,11,CA1919,Pantene,7.99, No,0%,3,23.97,11.67,3
2021,33,CA1220,Pantene,7.99,No,0%,11,87.89,42.79,10
2021,34,CA1246,Aussie,2.99,yes,0.4,77,230.23,14.63,30
2021,9,CA1979,pantene,,Yes,0.4,17,81.43,11.73,11
2022,4,CA2270,Pantene,4.79,YES,40%,1,4.79,0.69,1
2022,4,CA1171,PANTENE,4.79,Yes,0.4,39,186.81,26.91,27
2021,50,CA1908,aussie,3.29, No,0.35,20,65.8,9.8,9
2021,21,CA1766,Aussie,2.99,Yes,0.4,26,77.74,4.94,10
2021,47,CA1304,Aussie,2.99,Yes,0.4,72,215.28,13.68,29
2021,28,CA1533,Aussie,3.99,Yes,0.2,25,99.75,29.75,18
2022,13,CA1590,Pantene,7.99,No,0.0,8,63.92,31.12,8
2021,5,CA1003,Pantene,7.99,NO,0.0,9,71.91,35.01,9
2021,11,CA1038,Aussie,3.49,No,30%,48,167.52,33.12,26
2021,23,CA1387,Pantene,7.99,No,0.0,12,95.88,46.68,12
2021,30,CA1663,Aussie,4.99,No,0.0,11,54.89,24.09,11
2021,26,CA1034,Pantene,7.49,Yes,0.05,12,89.88,40.68,11
2022,8,CA2112,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,13,CA1886,Pantene,6.79,Yes,0.15,8,54.32,21.52,7
2021,32,CA1847,Pantene,7.99,No,0.0,4,31.96,15.56,4
2021,33,CA1104, Pantene,7.99,No,0.0,14,111.86,54.46,14
2021,2,CA1744, Aussie,3.99, Yes,0.2,14,55.86,16.66,10
2022,9,CA1565,Pantene,4.79,Yes,0.4,21,100.59,14.49,15
2021,45,CA2221,AUSSIE,3.29,Yes,0.35,5,16.45,2.45,2
2021,22,CA1456,Pantene,3.99,yes,0.5,57,227.43,-6.27,27
2021,13,CA2016,Aussie,3.49,Yes,0.3,14,48.86,9.66,8
2022,3,CA1706,Pantene,7.99,No,0%,6,47.94,23.34,6
2021,6,CA1811,AUSSIE,3.99,No,0.2,12,47.88,14.28,9
2021,31,CA2005,PANTENE,5.49,No,0.3,11,60.39,15.29,9
2021,14,CA2149,Aussie,4.99,no,0.0,1,4.99,2.19,1
2021,47,CA1991,pantene,6.79, Yes,0.15,7,47.53,18.83,6
2021,42,CA2139,aussie,2.99,Yes,40%,8,23.92,1.52,3
2021,26,CA1411,Aussie,3.49,Yes,0.3,47,164.03,32.43,27
2021,20,CA1254,Pantene,6.49,YES,20%,17,110.33,40.63,15
2021,7,CA1429,Pantene,7.99,NO,0.0,10,79.9,38.9,9
2021,19,CA1225,Pantene,6.79,Yes,0.15,13,88.27,34.97,12
2021,27,CA1016,Aussie,4.99,No,0%,15,74.85,32.85,15
2021,39,CA1085,PANTENE,7.99,NO,0.0,12,95.88,46.68,12
2021,13,CA1926,PANTENE,6.79,Yes,0.15,5,33.95,13.45,5
2021,22,CA2087,Pantene,3.99,YES,0.5,10,39.9,-1.1,5
2021,17,CA1547,Pantene,,No,0.0,9,71.91,35.01,9
2021,31,CA2140,Aussie,3.49,Yes,0.3,5,17.45,3.45,3
2022,14,CA1618,PANTENE,6.79,Yes,0.15,14,95.06,37.66,13
2022,8,CA1166,pantene,7.99,No,0.0,12,95.88,46.68,12
2021,20,CA2006,pantene,6.49,Yes,0.2,7,45.43,16.73,7
2021,33,CA1836,Aussie,4.99,No,0.0,8,39.92,17.52,8
2022,6,CA1462,Pantene,3.99,Yes,0.5,52,207.48,-5.72,23
2021,16,CA2192,Aussie,3.29,Yes,0.35,7,23.03,3.43,3
2021,2,CA1502,Pantene,,Yes,0.1,8,58.32,25.52,8
2021,47,CA1811,Aussie,2.99,Yes,0.4,36,107.64,6.84,14
2021,38,CA2202,AUSSIE,4.99,No,0.0,1,4.99,2.19,1
2021,12,CA1273,Pantene,,Yes,0.5,83,331.17,-9.13,37
2021,23,CA1671,AUSSIE,3.49, Yes,0.3,34,118.66,23.46,19
2021,16,CA1643,Pantene,7.99,No,0.0,6,47.94,23.34,6
2021,32,CA1197,Pantene,7.99,No,0%,10,79.9,38.9,10
2021,18,CA1956,pantene,5.49,Yes,0.3,12,65.88,16.68,10
2021,45,CA1047,Aussie,3.29,Yes,35.0,64,210.56,31.36,28
2021,3,CA1356,Pantene,5.49,Yes,0.3,28,153.72,38.92,22
2021,15,CA2119,Aussie,4.29,Yes,0.15,3,12.87,4.52,2
2021,34,CA1583,aussie,2.99,YES,40.0,44,131.56,8.36,17
2021,29,CA1420,Aussie,3.99,No,20%,32,127.68,38.08,23
2021,52,CA1841,Aussie,3.29,yes,0.35,22,72.38,10.78,10
2021,1,CA1874,Aussie,4.99,No,0.0,8,39.92,17.52,7
2021,12,CA2098,Aussie,4.99,No,0%,2,9.98,4.38,2
2021,31,CA2212,Aussie,3.49,Yes,0.3,3,10.47,2.07,2
2021,18,CA1546,Aussie,3.99,Yes,0.2,20,79.8,23.8,15
2021,51,CA1352,Pantene,5.49,Yes,30%,33,181.17,45.87,27
2022,4,CA2049,Pantene,4.79,Yes,0.4,4,19.16,2.76,3
2021,41,CA2073,Aussie,3.99,YES,0.2,3,11.97,3.57,2
2021,7,CA2122,Pantene,7.99,No,0%,1,7.99,3.89,1
2022,13,CA1113,pantene,7.99,No,0.0,14,111.86,54.46,14
2021,50,CA1963,Aussie,3.29,No,0.35,16,52.64,7.84,7
2022,15,CA1541,Pantene,6.79,No,0.15,12,81.48,32.28,11
2021,6,CA1819,Aussie,3.99,No,0.2,10,39.9,11.9,7
2021,42,CA1276,Pantene,5.29,YES,0.35,32,169.28,38.08,24
2021,22,CA1002,Aussie,4.99,No,0%,16,79.84,35.04,16
2021,50,CA2134,Aussie,3.29,No,35.0,5,16.45,2.45,2
2021,22,CA1180,aussie,4.99,No,0.0,18,89.82,39.42,17
2022,6,CA2152,Pantene,3.99, Yes,50.0,10,39.9,-1.1,4
2021,10,CA2183,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,32,CA1057,Pantene,7.99,No,0.0,14,111.86,54.46,14
2021,28,CA1442,pantene,3.99,Yes,50.0,34,135.66,-3.74,16
2021,46,CA1305,Aussie,4.99,No,0.0,18,89.82,39.42,17
2021,18,CA1208,Pantene,5.49,YES,0.3,22,120.78,30.58,17
2021,11,CA1065,pantene,7.99,No,0%,12,95.88,46.68,12
2021,2,CA1608,Pantene,7.29,Yes,0.1,9,65.61,28.71,9
2021,5,CA2131,AUSSIE,3.99,Yes,20%,3,11.97,3.57,2
2021,5,CA2142, Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,3,CA1406,Aussie,2.99,Yes,0.4,70,209.3,13.3,27
2021,39,CA1289,Aussie,2.49,YES,0.5,110,273.9,-34.1,32
2021,33,CA1977,Aussie,4.99,No,0%,4,19.96,8.76,4
2021,28,CA1974,Aussie,3.99,YES,0.2,12,47.88,14.28,9
2021,7,CA1297,Pantene,7.99,No,0.0,8,63.92,31.12,8
2021,20,CA1142,Aussie,4.99,No,0%,13,64.87,28.47,13
2021,32,CA1429,aussie,3.49,no,0.3,35,122.15,24.15,19
2021,15,CA1782, Aussie,4.29,Yes,0.15,9,38.61,13.56,7
2022,9,CA1487,Pantene,4.79,Yes,0.4,29,138.91,20.01,20
2021,34,CA1392,Pantene,3.99,Yes,0.5,75,299.25,-8.25,35
2021,25,CA1652,AUSSIE,4.99,No,0.0,7,34.93,15.33,7
2021,34,CA1566,Pantene,3.99,Yes,0.5,58,231.42,-6.38,27
2021,2,CA2106,Pantene,7.29,Yes,0.1,2,14.58,6.38,2
2021,33,CA1646,AUSSIE,4.99,No,0.0,9,44.91,19.71,8
2021,27,CA1967,aussie,4.99,No,0.0,6,29.94,13.14,6
2021,31,CA2016,Aussie,3.49,Yes,0.3,14,48.86,9.66,8
2021,38,CA1429,PANTENE,7.99,No,0.0,10,79.9,38.9,10
2021,16,CA1108,Aussie,3.29,Yes,0.35,61,200.69,29.89,27
2021,41,CA1584,Pantene,7.99,No,0.0,6,47.94,23.34,6
2021,20,CA1810,Aussie,4.99,No,0.0,5,24.95,10.95,5
2021,3,CA1629,Pantene,5.49,YES,0.3,22,120.78,30.58,17
2021,26,CA1719,Aussie,3.49,Yes,30%,21,73.29,14.49,12
2021,44,CA2231,AUSSIE,3.99,Yes,20%,3,11.97,3.57,2
2021,40,CA1041,Aussie,4.99,NO,0.0,14,69.86,30.66,13
2021,42,CA1330,Aussie,2.99,Yes,0.4,87,260.13,16.53,34
2021,41,CA1014,Pantene,7.99, No,0%,14,111.86,54.46,14
2021,10,CA2006,Pantene,7.99,NO,0.0,4,31.96,15.56,4
2021,24,CA1788,Aussie,3.49,No,30.0,22,76.78,15.18,12
2021,32,CA1691,PANTENE,7.99,No,0%,9,71.91,35.01,9
2021,45,CA1242,Pantene,4.49,Yes,0.45,55,246.95,21.45,31
2021,50,CA1407,Aussie,3.29,no,0.35,40,131.6,19.6,17
2021,32,CA1398,Pantene,7.99,No,0.0,14,111.86,54.46,14
2021,26,CA1072,PANTENE,7.49,Yes,0.05,15,112.35,50.85,14
2022,15,CA1027,pantene,6.79,No,0.15,18,122.22,48.42,16
2021,30,CA2067,Pantene,5.49,yes,30%,4,21.96,5.56,3
2021,8,CA1843,PANTENE,7.99,No,0.0,4,31.96,15.56,4
2021,8,CA1639,Pantene,7.99,No,0.0,6,47.94,23.34,5
2021,28,CA2022,Aussie,3.99,Yes,20%,15,59.85,17.85,11
2021,29,CA1542,Aussie,3.99,no,0.2,15,59.85,17.85,11
2022,9,CA1384,Pantene,4.79,Yes,0.4,40,191.6,27.6,28
2022,6,CA1313,Pantene,,YES,0.5,73,291.27,-8.03,33
2021,20,CA1040,Pantene,6.49,Yes,0.2,15,97.35,35.85,14
2021,12,CA1226,Pantene,3.99,Yes,50.0,92,367.08,-10.12,42
2021,7,CA1300,Aussie,4.99,No,0.0,17,84.83,37.23,17
2021,29,CA2226,aussie,3.99,No,0.2,3,11.97,3.57,2
2021,7,CA1996, Aussie,4.99,No,0.0,7,34.93,15.33,7
2021,14,CA1423,Aussie,4.99,No,0%,8,39.92,17.52,8
2021,7,CA2074,pantene,7.99, No,0%,2,15.98,7.78,2
2021,26,CA1538,Pantene,7.49,YES,0.05,10,74.9,33.9,9
2021,31,CA1458,pantene,5.49,No,0.3,13,71.37,18.07,11
2022,1,CA2267,Pantene,5.49,YES,30%,1,5.49,1.39,1
2021,49,CA2197,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,21,CA1523,Pantene,7.99,No,0.0,8,63.92,31.12,8
2021,2,CA1353,aussie,3.99,Yes,0.2,22,87.78,26.18,17
2021,12,CA1344,Pantene,3.99,Yes,0.5,55,219.45,-6.05,25
2021,27,CA2203,Aussie,4.99,No,0.0,1,4.99,2.19,1
2022,14,CA2195,Pantene,6.79,YES,0.15,2,13.58,5.38,2
2021,47,CA2238,Aussie,2.99,Yes,0.4,6,17.94,1.14,2
2022,10,CA1420,Pantene,7.99,No,0.0,14,111.86,54.46,14
2021,7,CA1452,Aussie,4.99,No,0.0,10,49.9,21.9,10
2021,36,CA1947,Pantene,7.99,No,0.0,3,23.97,11.67,3
2021,13,CA1182,Aussie,3.49,Yes,0.3,60,209.4,41.4,34
2021,34,CA2026,PANTENE,3.99,Yes,50%,23,91.77,-2.53,11
2022,15,CA2007,pantene,6.79,No,0.15,7,47.53,18.83,7
2021,27,CA2075, Aussie,4.99,No,0.0,2,9.98,4.38,2
2021,19,CA1866,Aussie,3.29,YES,0.35,24,78.96,11.76,11
2021,34,CA1442,Pantene,3.99,Yes,0.5,34,135.66,-3.74,16
2021,45,CA1529,Aussie,3.29,Yes,0.35,36,118.44,17.64,16
2021,52,CA1302,PANTENE,7.99,No,0.0,9,71.91,35.01,9
2021,38,CA1411,Aussie,4.99,NO,0.0,12,59.88,26.28,12
2021,49,CA1185,Pantene,7.99,No,0.0,14,111.86,54.46,14
2021,29,CA1378,Pantene,6.49,YES,0.2,19,123.31,45.41,17
2021,4,CA2240,Pantene,7.49,Yes,0.05,1,7.49,3.39,1
2021,13,CA1402,Pantene,6.79,Yes,0.15,15,101.85,40.35,13
2021,43,CA1065,Pantene,6.49,Yes,20%,20,129.8,47.8,18
2021,27,CA1508,Aussie,4.99,No,0.0,11,54.89,24.09,11
2021,33,CA1940,Aussie,4.99,No,0.0,6,29.94,13.14,6
2022,11,CA2244,Pantene,7.99, No,0.0,1,7.99,3.89,1
2021,26,CA1038,Aussie,3.49,Yes,0.3,56,195.44,38.64,32
2021,52,CA1733,pantene,7.99,no,0.0,6,47.94,23.34,6
2021,14,CA1535,Aussie,4.99,No,0.0,11,54.89,24.09,10
2022,1,CA1628,Pantene,5.49,Yes,0.3,19,104.31,26.41,16
2021,14,CA1953,Pantene,7.99,no,0%,4,31.96,15.56,4
2021,28,CA2008,Pantene,3.99,YES,0.5,32,127.68,-3.52,15
2021,46,CA1388,Aussie,4.99,No,0.0,19,94.81,41.61,18
2021,9,CA1873,PANTENE,,Yes,40%,17,81.43,11.73,12
2021,28,CA2197,Aussie,3.99,Yes,20%,3,11.97,3.57,2
2021,19,CA1827,Aussie,3.29,Yes,35%,35,115.15,17.15,15
2021,35,CA2277,Aussie,4.99,no,0.0,1,4.99,2.19,1
2021,29,CA1792,Aussie,3.99,No,20%,13,51.87,15.47,9
2021,1,CA1379,Pantene,,NO,0.0,13,103.87,50.57,12
2021,12,CA1759,Pantene,3.99,Yes,0.5,26,103.74,-2.86,12
2021,34,CA1885,aussie,2.99,Yes,40.0,29,86.71,5.51,12
2022,2,CA1406,PANTENE,5.49,No,0.3,23,126.27,31.97,18
2021,12,CA1483,Aussie,4.99,No,0.0,12,59.88,26.28,11
2022,3,CA2196,Pantene,7.99,No,0%,1,7.99,3.89,1
2021,50,CA1986,aussie,3.29,No,35.0,19,62.51,9.31,8
2021,32,CA1934,Pantene,7.99,No,0%,5,39.95,19.45,5
2021,39,CA2221,Aussie,2.49,Yes,50.0,8,19.92,-2.48,2
2021,34,CA2217,AUSSIE,2.99,Yes,40%,7,20.93,1.33,3
2021,1,CA2081,AUSSIE,4.99,No,0.0,2,9.98,4.38,2
2021,12,CA1311,aussie,4.99,No,0.0,15,74.85,32.85,15
2021,22,CA2097,Pantene,3.99,Yes,0.5,10,39.9,-1.1,5
2021,18,CA2054,Pantene,5.49,Yes,0.3,5,27.45,6.95,4
2021,4,CA1648,pantene,7.49,Yes,5%,9,67.41,30.51,9
2021,3,CA1092,AUSSIE,2.99,YES,0.4,80,239.2,15.2,31
2021,19,CA1077,Aussie,3.29,Yes,0.35,53,174.37,25.97,23
2021,5,CA1194,Aussie,3.99,yes,0.2,32,127.68,38.08,24
2021,24,CA1062,Aussie,3.49,NO,0.3,37,129.13,25.53,20
2021,22,CA1366,Aussie,4.99,No,0.0,14,69.86,30.66,13
2022,7,CA2110,Pantene,7.99,No,0%,1,7.99,3.89,1
2021,29,CA1655,Aussie,3.99,No,0.2,14,55.86,16.66,10
2021,22,CA2196,Pantene,3.99,Yes,0.5,6,23.94,-0.66,3
2022,6,CA1260,Pantene,3.99,Yes,0.5,82,327.18,-9.02,37
2021,28,CA1279,Pantene,3.99,YES,0.5,54,215.46,-5.94,25
2021,4,CA1287,Pantene,,Yes,0.05,14,104.86,47.46,14
2021,48,CA1395,Pantene,7.49,Yes,0.05,12,89.88,40.68,12
2021,24,CA2294,Pantene,4.49,Yes,0.45,1,4.49,0.39,0
2021,49,CA1077,Pantene,7.99,no,0.0,9,71.91,35.01,9
2021,5,CA1411,Aussie,3.99,Yes,0.2,29,115.71,34.51,22
2021,23,CA1060,Aussie,3.49,Yes,0.3,62,216.38,42.78,36
2021,18,CA2146,Pantene,5.49,Yes,0.3,2,10.98,2.78,2
2021,37,CA1824,Aussie,4.99,No,0%,7,34.93,15.33,7
2021,49,CA1889,Aussie,3.29,Yes,0.35,31,101.99,15.19,14
2021,47,CA2199,AUSSIE,2.99,Yes,0.4,8,23.92,1.52,3
2022,14,CA1074,Pantene,6.79,Yes,0.15,19,129.01,51.11,18
2022,1,CA1833,pantene,5.49,Yes,0.3,9,49.41,12.51,7
2022,1,CA1809,Pantene,5.49,Yes,30%,13,71.37,18.07,10
2021,41,CA2145,Pantene,7.99,NO,0.0,1,7.99,3.89,1
2021,41,CA1444,Pantene,7.99,NO,0.0,8,63.92,31.12,8
2021,39,CA2045,Pantene,7.99,NO,0.0,1,7.99,3.89,1
2021,1,CA1944,Pantene,7.99,No,0.0,3,23.97,11.67,3
2021,36,CA2046,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,45,CA1127,PANTENE,4.49,Yes,45.0,47,211.03,18.33,27
2021,26,CA2063,Pantene,7.49,YES,0.05,2,14.98,6.78,2
2021,29,CA1918,Aussie,3.99,No,20%,12,47.88,14.28,9
2021,50,CA1937,Pantene,3.99,Yes,0.5,30,119.7,-3.3,14
2021,51,CA1065,Pantene,5.49,Yes,0.3,31,170.19,43.09,25
2021,14,CA1330,Aussie,4.99,No,0.0,17,84.83,37.23,16
2021,13,CA1901,Pantene,6.79,yes,15%,7,47.53,18.83,6
2022,3,CA1032,Pantene,7.99,No,0.0,12,95.88,46.68,12
2021,18,CA1072,Pantene,5.49,YES,0.3,34,186.66,47.26,28
2021,40,CA1970,Aussie,4.99,No,0.0,6,29.94,13.14,5
2021,19,CA1505,Pantene,6.79,Yes,0.15,14,95.06,37.66,12
2021,25,CA1010,Aussie,4.99,no,0.0,14,69.86,30.66,14
2021,37,CA1595,Pantene,4.79,Yes,40.0,35,167.65,24.15,24
2021,49,CA2157,aussie,3.29,YES,0.35,8,26.32,3.92,4
2022,9,CA1569,Pantene,4.79,Yes,0.4,28,134.12,19.32,19
2022,4,CA1636,Pantene,4.79,yes,0.4,28,134.12,19.32,19
2022,10,CA2224,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,38,CA1761,Pantene,7.99,No,0.0,5,39.95,19.45,5
2021,5,CA1666,Pantene,7.99,No,0.0,6,47.94,23.34,6
