Date,Fiscal Year,Fiscal Quarter,Month,Full Date
17-08-2019,2020,FY2020 Q1,2019-08-01 00:00:00,"Aug 17, 2019"
"Aug 18, 2019",FY2020,FY2020 Q1,01-08-2019,20190818
2019-08-19 00:00:00,FY2020,FY2020 Q1,20190801,08/19/2019
20190820,FY2020,FY2020 Q1,2019-08-01,20190820
2019-08-21,FY2020,FY2020 Q1,08/01/2019,"Aug 21, 2019"
08/22/2019,FY2020,FY2020 Q1,08/01/2019,2019-08-22
20190823,FY-2020,FY2020 Q1,20190801,"Aug 23, 2019"
20190824,FY2020,FY2020 Q1,2019-08-01,24-08-2019
"Aug 25, 2019",2020,FY2020 Q1,20190801,25-08-2019
08/26/2019,FY2020,FY2020 Q1,01-08-2019,26-08-2019
2019-08-27 00:00:00,FY2020,FY2020 Q1,2019-08-01,27-08-2019
28-08-2019,2020,FY2020 Q1,20190801,2019-08-28
20190829,FY2020,FY2020 Q1,2019-08-01,2019-08-29 00:00:00
20190830,FY2020,FY2020 Q1,20190801,"Aug 30, 2019"
"Aug 31, 2019",FY2020,FY2020 Q1,2019-08-01,"Aug 31, 2019"
20190901,FY2020,FY2020 Q1,09/01/2019,2019-09-01 00:00:00
20190902,FY2020,FY2020 Q1,09/01/2019,09/02/2019
2019-09-03,FY-2020,FY2020 Q1,01-09-2019,"Sep 03, 2019"
04-09-2019,FY2020,FY2020 Q1,09/01/2019,04-09-2019
05-09-2019,2020,FY2020 Q1,01-09-2019,20190905
"Sep 06, 2019",2020,,01-09-2019,2019-09-06 00:00:00
07-09-2019,FY2020,FY2020 Q1,09/01/2019,"Sep 07, 2019"
20190908,FY2020,FY2020 Q1,2019-09-01 00:00:00,09/08/2019
09/09/2019,FY2020,FY2020 Q1,2019-09-01 00:00:00,"Sep 09, 2019"
10-09-2019,FY2020,FY2020 Q1,2019-09-01,09/10/2019
20190911,FY2020,FY2020 Q1,09/01/2019,20190911
12-09-2019,FY2020,FY2020 Q1,01-09-2019,09/12/2019
2019-09-13,FY2020,FY2020 Q1,2019-09-01 00:00:00,2019-09-13 00:00:00
14-09-2019,FY-2020,FY2020 Q1,2019-09-01,"Sep 14, 2019"
09/15/2019,2020,FY2020 Q1,20190901,2019-09-15
09/16/2019,FY2020,FY2020 Q1,20190901,2019-09-16
17-09-2019,FY2020,FY2020 Q1,09/01/2019,20190917
20190918,2020,FY2020 Q1,09/01/2019,18-09-2019
19-09-2019,FY2020,FY2020 Q1,"Sep 01, 2019",2019-09-19
2019-09-20,FY2020,FY2020 Q1,2019-09-01,20-09-2019
20190921,FY2020,FY2020 Q1,"Sep 01, 2019","Sep 21, 2019"
"Sep 22, 2019",FY-2020,FY2020 Q1,01-09-2019,2019-09-22 00:00:00
23-09-2019,FY2020,FY2020 Q1,01-09-2019,"Sep 23, 2019"
2019-09-24 00:00:00,FY2020,FY2020 Q1,2019-09-01,24-09-2019
2019-09-25 00:00:00,2020,FY2020 Q1,20190901,09/25/2019
2019-09-26 00:00:00,FY2020,FY2020 Q1,01-09-2019,20190926
"Sep 27, 2019",FY2020,FY2020 Q1,01-09-2019,27-09-2019
20190928,2020,FY2020 Q1,2019-09-01 00:00:00,20190928
2019-09-29,FY2020,FY2020 Q1,2019-09-01,"Sep 29, 2019"
2019-09-30 00:00:00,FY2020,FY2020 Q1,2019-09-01,2019-09-30 00:00:00
20191001,FY2020,FY2020 Q2,20191001,20191001
02-10-2019,FY2020,FY2020 Q2,10/01/2019,2019-10-02
03-10-2019,FY2020,FY2020 Q2,20191001,03-10-2019
2019-10-04,FY2020,FY2020 Q2,"Oct 01, 2019",2019-10-04 00:00:00
2019-10-05 00:00:00,FY2020,FY2020 Q2,2019-10-01,05-10-2019
"Oct 06, 2019",FY2020,FY2020 Q2,01-10-2019,2019-10-06 00:00:00
10/07/2019,FY2020,FY2020 Q2,"Oct 01, 2019",10/07/2019
20191008,FY2020,FY2020 Q2,01-10-2019,10/08/2019
20191009,FY-2020,FY2020 Q2,"Oct 01, 2019",10/09/2019
2019-10-10,FY2020,FY2020 Q2,10/01/2019,2019-10-10
2019-10-11,2020,FY2020 Q2,"Oct 01, 2019",2019-10-11 00:00:00
12-10-2019,FY2020,FY2020 Q2,2019-10-01,20191012
"Oct 13, 2019",FY2020,FY2020 Q2,20191001,"Oct 13, 2019"
"Oct 14, 2019",FY2020,FY2020 Q2,10/01/2019,10/14/2019
2019-10-15,FY2020,FY2020 Q2,"Oct 01, 2019",2019-10-15
20191016,FY2020,FY2020 Q2,10/01/2019,2019-10-16 00:00:00
2019-10-17,FY2020,FY2020 Q2,10/01/2019,10/17/2019
18-10-2019,FY2020,FY2020 Q2,"Oct 01, 2019",2019-10-18 00:00:00
"Oct 19, 2019",FY-2020,FY2020 Q2,2019-10-01 00:00:00,19-10-2019
2019-10-20,FY2020,FY2020 Q2,20191001,20191020
2019-10-21,FY2020,FY2020 Q2,"Oct 01, 2019",21-10-2019
"Oct 22, 2019",FY2020,FY2020 Q2,2019-10-01 00:00:00,20191022
20191023,FY2020,FY2020 Q2,2019-10-01,2019-10-23
2019-10-24 00:00:00,FY2020,FY2020 Q2,2019-10-01,"Oct 24, 2019"
25-10-2019,FY2020,FY2020 Q2,"Oct 01, 2019",20191025
26-10-2019,FY2020,FY2020 Q2,10/01/2019,2019-10-26 00:00:00
20191027,FY2020,FY2020 Q2,"Oct 01, 2019",2019-10-27
2019-10-28,FY2020,FY2020 Q2,20191001,20191028
"Oct 29, 2019",FY2020,FY2020 Q2,2019-10-01 00:00:00,20191029
10/30/2019,FY2020,FY2020 Q2,2019-10-01 00:00:00,30-10-2019
20191031,FY2020,FY2020 Q2,01-10-2019,2019-10-31 00:00:00
20191101,FY-2020,,20191101,2019-11-01
2019-11-02 00:00:00,2020,FY2020 Q2,2019-11-01,11/02/2019
"Nov 03, 2019",FY2020,FY2020 Q2,11/01/2019,2019-11-03
20191104,2020,FY2020 Q2,2019-11-01,2019-11-04
05-11-2019,FY2020,FY2020 Q2,20191101,2019-11-05
2019-11-06,FY2020,FY2020 Q2,01-11-2019,2019-11-06
07-11-2019,FY2020,FY2020 Q2,20191101,11/07/2019
08-11-2019,FY2020,FY2020 Q2,01-11-2019,20191108
2019-11-09 00:00:00,FY2020,FY2020 Q2,2019-11-01 00:00:00,"Nov 09, 2019"
10-11-2019,FY-2020,FY2020 Q2,20191101,20191110
2019-11-11,FY2020,FY2020 Q2,20191101,11-11-2019
12-11-2019,FY2020,FY2020 Q2,20191101,2019-11-12 00:00:00
13-11-2019,2020,FY2020 Q2,01-11-2019,"Nov 13, 2019"
2019-11-14 00:00:00,FY2020,FY2020 Q2,20191101,"Nov 14, 2019"
11/15/2019,FY2020,FY2020 Q2,"Nov 01, 2019",15-11-2019
"Nov 16, 2019",FY-2020,FY2020 Q2,01-11-2019,"Nov 16, 2019"
17-11-2019,FY2020,FY2020 Q2,20191101,2019-11-17 00:00:00
11/18/2019,FY2020,FY2020 Q2,11/01/2019,20191118
2019-11-19 00:00:00,FY2020,FY2020 Q2,01-11-2019,2019-11-19
20191120,FY2020,FY2020 Q2,2019-11-01,2019-11-20
20191121,2020,FY2020 Q2,"Nov 01, 2019",21-11-2019
2019-11-22 00:00:00,FY2020,FY2020 Q2,01-11-2019,2019-11-22
2019-11-23,FY2020,FY2020 Q2,01-11-2019,2019-11-23 00:00:00
"Nov 24, 2019",FY2020,FY2020 Q2,2019-11-01,11/24/2019
"Nov 25, 2019",FY2020,FY2020 Q2,2019-11-01 00:00:00,25-11-2019
2019-11-26,FY2020,FY2020 Q2,2019-11-01 00:00:00,11/26/2019
2019-11-27 00:00:00,FY2020,FY2020 Q2,2019-11-01,"Nov 27, 2019"
28-11-2019,FY2020,FY2020 Q2,2019-11-01 00:00:00,2019-11-28 00:00:00
2019-11-29,FY2020,FY2020 Q2,01-11-2019,2019-11-29
2019-11-30,FY2020,FY2020 Q2,11/01/2019,2019-11-30 00:00:00
01-12-2019,FY2020,FY2020 Q2,"Dec 01, 2019",20191201
2019-12-02,FY2020,FY2020 Q2,"Dec 01, 2019",12/02/2019
12/03/2019,2020,FY2020 Q2,"Dec 01, 2019",2019-12-03
20191204,FY2020,FY2020 Q2,12/01/2019,"Dec 04, 2019"
2019-12-05 00:00:00,FY2020,FY2020 Q2,01-12-2019,2019-12-05 00:00:00
"Dec 06, 2019",FY2020,FY2020 Q2,20191201,2019-12-06
2019-12-07 00:00:00,FY-2020,FY2020 Q2,2019-12-01,07-12-2019
20191208,FY2020,FY2020 Q2,"Dec 01, 2019",12/08/2019
12/09/2019,FY2020,FY2020 Q2,"Dec 01, 2019",20191209
20191210,FY2020,FY2020 Q2,12/01/2019,20191210
"Dec 11, 2019",2020,FY2020 Q2,"Dec 01, 2019","Dec 11, 2019"
12-12-2019,FY-2020,FY2020 Q2,20191201,12/12/2019
"Dec 13, 2019",FY-2020,FY2020 Q2,2019-12-01,12/13/2019
20191214,2020,FY2020 Q2,2019-12-01,2019-12-14 00:00:00
2019-12-15,FY2020,FY2020 Q2,12/01/2019,"Dec 15, 2019"
16-12-2019,FY2020,,"Dec 01, 2019",20191216
12/17/2019,FY2020,FY2020 Q2,01-12-2019,2019-12-17 00:00:00
18-12-2019,FY2020,FY2020 Q2,2019-12-01 00:00:00,"Dec 18, 2019"
2019-12-19,FY2020,FY2020 Q2,01-12-2019,2019-12-19 00:00:00
20191220,2020,FY2020 Q2,2019-12-01,12/20/2019
2019-12-21 00:00:00,FY2020,FY2020 Q2,01-12-2019,2019-12-21 00:00:00
"Dec 22, 2019",FY2020,FY2020 Q2,12/01/2019,20191222
2019-12-23 00:00:00,FY2020,FY2020 Q2,"Dec 01, 2019",23-12-2019
"Dec 24, 2019",2020,FY2020 Q2,2019-12-01 00:00:00,2019-12-24 00:00:00
2019-12-25,FY2020,FY2020 Q2,12/01/2019,20191225
26-12-2019,FY2020,FY2020 Q2,01-12-2019,12/26/2019
12/27/2019,FY2020,FY2020 Q2,2019-12-01 00:00:00,12/27/2019
2019-12-28,2020,FY2020 Q2,01-12-2019,20191228
20191229,FY2020,FY2020 Q2,12/01/2019,"Dec 29, 2019"
20191230,FY2020,FY2020 Q2,2019-12-01,2019-12-30 00:00:00
2019-12-31 00:00:00,FY2020,FY2020 Q2,12/01/2019,"Dec 31, 2019"
"Jan 01, 2020",FY2020,FY2020 Q3,01/01/2020,20200101
2020-01-02,FY2020,FY2020 Q3,2020-01-01 00:00:00,02-01-2020
20200103,FY-2020,FY2020 Q3,2020-01-01 00:00:00,01/03/2020
2020-01-04 00:00:00,2020,FY2020 Q3,"Jan 01, 2020",2020-01-04
2020-01-05,FY2020,FY2020 Q3,20200101,2020-01-05
2020-01-06,FY2020,FY2020 Q3,01-01-2020,2020-01-06 00:00:00
20200107,FY2020,FY2020 Q3,"Jan 01, 2020",07-01-2020
"Jan 08, 2020",FY2020,FY2020 Q3,2020-01-01,01/08/2020
2020-01-09,FY2020,,"Jan 01, 2020",2020-01-09 00:00:00
10-01-2020,FY2020,FY2020 Q3,2020-01-01,10-01-2020
01/11/2020,2020,FY2020 Q3,"Jan 01, 2020",01/11/2020
20200112,FY2020,FY2020 Q3,"Jan 01, 2020","Jan 12, 2020"
13-01-2020,FY2020,FY2020 Q3,2020-01-01,20200113
"Jan 14, 2020",FY2020,FY2020 Q3,01-01-2020,01/14/2020
20200115,FY2020,FY2020 Q3,01/01/2020,2020-01-15 00:00:00
01/16/2020,2020,FY2020 Q3,"Jan 01, 2020",2020-01-16
2020-01-17 00:00:00,FY2020,FY2020 Q3,01/01/2020,20200117
01/18/2020,FY2020,FY2020 Q3,"Jan 01, 2020",18-01-2020
"Jan 19, 2020",FY2020,FY2020 Q3,2020-01-01,20200119
2020-01-20 00:00:00,2020,FY2020 Q3,01-01-2020,"Jan 20, 2020"
2020-01-21 00:00:00,FY2020,FY2020 Q3,01/01/2020,01/21/2020
20200122,FY2020,FY2020 Q3,2020-01-01,2020-01-22 00:00:00
20200123,FY2020,FY2020 Q3,20200101,2020-01-23
20200124,FY-2020,FY2020 Q3,20200101,24-01-2020
2020-01-25 00:00:00,FY-2020,FY2020 Q3,01/01/2020,2020-01-25 00:00:00
2020-01-26,FY2020,FY2020 Q3,2020-01-01,26-01-2020
2020-01-27 00:00:00,FY2020,FY2020 Q3,2020-01-01 00:00:00,27-01-2020
2020-01-28,FY2020,FY2020 Q3,2020-01-01 00:00:00,2020-01-28 00:00:00
29-01-2020,FY-2020,FY2020 Q3,"Jan 01, 2020","Jan 29, 2020"
30-01-2020,FY2020,FY2020 Q3,01/01/2020,30-01-2020
2020-01-31,FY2020,FY2020 Q3,2020-01-01,2020-01-31
20200201,FY2020,FY2020 Q3,02/01/2020,"Feb 01, 2020"
2020-02-02,FY2020,FY2020 Q3,"Feb 01, 2020",2020-02-02 00:00:00
03-02-2020,FY2020,FY2020 Q3,"Feb 01, 2020","Feb 03, 2020"
2020-02-04,FY2020,,01-02-2020,20200204
2020-02-05,FY2020,FY2020 Q3,2020-02-01,2020-02-05 00:00:00
20200206,2020,FY2020 Q3,2020-02-01,06-02-2020
20200207,FY2020,FY2020 Q3,2020-02-01 00:00:00,07-02-2020
2020-02-08,FY2020,FY2020 Q3,20200201,2020-02-08 00:00:00
2020-02-09,FY2020,FY2020 Q3,2020-02-01 00:00:00,"Feb 09, 2020"
2020-02-10 00:00:00,FY2020,FY2020 Q3,20200201,2020-02-10 00:00:00
20200211,FY2020,FY2020 Q3,20200201,20200211
12-02-2020,FY2020,FY2020 Q3,20200201,02/12/2020
2020-02-13,FY2020,FY2020 Q3,"Feb 01, 2020",2020-02-13 00:00:00
2020-02-14 00:00:00,FY2020,FY2020 Q3,02/01/2020,14-02-2020
2020-02-15 00:00:00,FY2020,FY2020 Q3,2020-02-01 00:00:00,2020-02-15 00:00:00
"Feb 16, 2020",FY2020,FY2020 Q3,2020-02-01 00:00:00,02/16/2020
2020-02-17,FY2020,FY2020 Q3,2020-02-01,"Feb 17, 2020"
2020-02-18,FY-2020,FY2020 Q3,"Feb 01, 2020",18-02-2020
20200219,FY2020,FY2020 Q3,2020-02-01 00:00:00,2020-02-19
20200220,2020,FY2020 Q3,2020-02-01,"Feb 20, 2020"
"Feb 21, 2020",FY2020,FY2020 Q3,2020-02-01 00:00:00,2020-02-21 00:00:00
22-02-2020,FY2020,FY2020 Q3,2020-02-01,02/22/2020
02/23/2020,FY2020,FY2020 Q3,01-02-2020,20200223
"Feb 24, 2020",FY2020,FY2020 Q3,2020-02-01,20200224
25-02-2020,FY-2020,FY2020 Q3,20200201,2020-02-25 00:00:00
26-02-2020,FY2020,FY2020 Q3,2020-02-01,2020-02-26
27-02-2020,2020,FY2020 Q3,"Feb 01, 2020",27-02-2020
20200228,FY2020,FY2020 Q3,20200201,20200228
20200229,FY2020,FY2020 Q3,2020-02-01,02/29/2020
2020-03-01,FY2020,FY2020 Q3,"Mar 01, 2020",2020-03-01 00:00:00
"Mar 02, 2020",FY-2020,FY2020 Q3,01-03-2020,2020-03-02 00:00:00
2020-03-03 00:00:00,FY2020,FY2020 Q3,20200301,20200303
20200304,FY2020,FY2020 Q3,01-03-2020,"Mar 04, 2020"
20200305,FY2020,FY2020 Q3,01-03-2020,05-03-2020
20200306,2020,FY2020 Q3,01-03-2020,2020-03-06
2020-03-07,FY2020,FY2020 Q3,2020-03-01 00:00:00,2020-03-07 00:00:00
20200308,FY2020,FY2020 Q3,01-03-2020,20200308
20200309,FY2020,FY2020 Q3,2020-03-01,2020-03-09
20200310,FY2020,FY2020 Q3,20200301,10-03-2020
03/11/2020,FY2020,FY2020 Q3,"Mar 01, 2020",2020-03-11 00:00:00
2020-03-12 00:00:00,FY2020,FY2020 Q3,2020-03-01,2020-03-12
2020-03-13,FY-2020,FY2020 Q3,01-03-2020,"Mar 13, 2020"
"Mar 14, 2020",2020,FY2020 Q3,03/01/2020,03/14/2020
2020-03-15 00:00:00,FY2020,FY2020 Q3,"Mar 01, 2020",15-03-2020
03/16/2020,FY2020,FY2020 Q3,20200301,2020-03-16
03/17/2020,FY-2020,FY2020 Q3,20200301,2020-03-17 00:00:00
"Mar 18, 2020",FY2020,FY2020 Q3,20200301,2020-03-18
03/19/2020,FY2020,FY2020 Q3,03/01/2020,2020-03-19
20-03-2020,FY2020,FY2020 Q3,"Mar 01, 2020",03/20/2020
"Mar 21, 2020",FY-2020,FY2020 Q3,2020-03-01 00:00:00,2020-03-21
2020-03-22,FY-2020,FY2020 Q3,01-03-2020,2020-03-22 00:00:00
23-03-2020,FY2020,FY2020 Q3,03/01/2020,"Mar 23, 2020"
03/24/2020,FY2020,FY2020 Q3,2020-03-01,20200324
2020-03-25,FY2020,FY2020 Q3,2020-03-01 00:00:00,20200325
2020-03-26 00:00:00,FY2020,FY2020 Q3,2020-03-01 00:00:00,03/26/2020
"Mar 27, 2020",FY2020,FY2020 Q3,01-03-2020,2020-03-27
03/28/2020,2020,FY2020 Q3,2020-03-01 00:00:00,20200328
2020-03-29,2020,FY2020 Q3,01-03-2020,29-03-2020
30-03-2020,FY2020,FY2020 Q3,20200301,"Mar 30, 2020"
03/31/2020,FY2020,FY2020 Q3,20200301,2020-03-31
20200401,FY2020,FY2020 Q4,20200401,01-04-2020
04/02/2020,FY2020,FY2020 Q4,"Apr 01, 2020",02-04-2020
2020-04-03 00:00:00,FY2020,,01-04-2020,2020-04-03 00:00:00
04-04-2020,FY2020,FY2020 Q4,"Apr 01, 2020",04-04-2020
"Apr 05, 2020",FY2020,FY2020 Q4,20200401,20200405
20200406,FY-2020,FY2020 Q4,"Apr 01, 2020",20200406
"Apr 07, 2020",FY2020,FY2020 Q4,04/01/2020,2020-04-07
04/08/2020,FY2020,FY2020 Q4,"Apr 01, 2020","Apr 08, 2020"
04/09/2020,2020,FY2020 Q4,20200401,20200409
20200410,FY2020,FY2020 Q4,04/01/2020,20200410
20200411,FY2020,FY2020 Q4,2020-04-01 00:00:00,2020-04-11 00:00:00
12-04-2020,2020,FY2020 Q4,20200401,20200412
2020-04-13 00:00:00,FY2020,FY2020 Q4,04/01/2020,2020-04-13 00:00:00
2020-04-14,FY2020,FY2020 Q4,04/01/2020,20200414
"Apr 15, 2020",FY2020,FY2020 Q4,2020-04-01 00:00:00,2020-04-15
2020-04-16 00:00:00,FY2020,FY2020 Q4,20200401,2020-04-16
"Apr 17, 2020",FY2020,FY2020 Q4,04/01/2020,2020-04-17 00:00:00
2020-04-18,FY2020,FY2020 Q4,04/01/2020,18-04-2020
04/19/2020,FY2020,FY2020 Q4,01-04-2020,2020-04-19
2020-04-20 00:00:00,FY2020,FY2020 Q4,04/01/2020,2020-04-20 00:00:00
2020-04-21,FY2020,FY2020 Q4,20200401,21-04-2020
22-04-2020,FY2020,FY2020 Q4,2020-04-01,04/22/2020
"Apr 23, 2020",FY2020,FY2020 Q4,04/01/2020,23-04-2020
"Apr 24, 2020",FY2020,FY2020 Q4,2020-04-01 00:00:00,2020-04-24
25-04-2020,FY2020,FY2020 Q4,2020-04-01 00:00:00,2020-04-25
26-04-2020,FY2020,FY2020 Q4,"Apr 01, 2020",2020-04-26
2020-04-27 00:00:00,FY2020,FY2020 Q4,2020-04-01,04/27/2020
20200428,FY2020,FY2020 Q4,"Apr 01, 2020",20200428
2020-04-29 00:00:00,FY2020,FY2020 Q4,2020-04-01 00:00:00,2020-04-29 00:00:00
20200430,FY2020,FY2020 Q4,2020-04-01,30-04-2020
"May 01, 2020",2020,FY2020 Q4,01-05-2020,01-05-2020
2020-05-02 00:00:00,FY2020,FY2020 Q4,20200501,20200502
"May 03, 2020",FY2020,FY2020 Q4,20200501,20200503
"May 04, 2020",FY2020,FY2020 Q4,01-05-2020,2020-05-04 00:00:00
2020-05-05,FY2020,FY2020 Q4,2020-05-01 00:00:00,05-05-2020
2020-05-06,FY2020,FY2020 Q4,2020-05-01,20200506
05/07/2020,FY2020,FY2020 Q4,01-05-2020,07-05-2020
2020-05-08 00:00:00,FY2020,FY2020 Q4,2020-05-01,20200508
05/09/2020,FY2020,FY2020 Q4,2020-05-01 00:00:00,2020-05-09 00:00:00
10-05-2020,FY2020,FY2020 Q4,05/01/2020,20200510
20200511,FY2020,FY2020 Q4,01-05-2020,11-05-2020
05/12/2020,FY2020,FY2020 Q4,05/01/2020,2020-05-12 00:00:00
2020-05-13,FY2020,FY2020 Q4,2020-05-01,20200513
"May 14, 2020",2020,FY2020 Q4,20200501,05/14/2020
05/15/2020,FY2020,FY2020 Q4,20200501,2020-05-15 00:00:00
20200516,FY2020,FY2020 Q4,"May 01, 2020",05/16/2020
2020-05-17,FY2020,FY2020 Q4,2020-05-01 00:00:00,"May 17, 2020"
2020-05-18 00:00:00,FY2020,FY2020 Q4,05/01/2020,2020-05-18 00:00:00
2020-05-19,FY-2020,FY2020 Q4,05/01/2020,20200519
"May 20, 2020",FY2020,FY2020 Q4,"May 01, 2020",20200520
"May 21, 2020",FY2020,FY2020 Q4,"May 01, 2020",21-05-2020
2020-05-22,FY2020,FY2020 Q4,20200501,2020-05-22
05/23/2020,FY2020,FY2020 Q4,20200501,2020-05-23
24-05-2020,FY2020,FY2020 Q4,2020-05-01 00:00:00,24-05-2020
20200525,FY-2020,FY2020 Q4,"May 01, 2020",2020-05-25
2020-05-26 00:00:00,FY2020,FY2020 Q4,2020-05-01,20200526
2020-05-27,FY2020,FY2020 Q4,2020-05-01 00:00:00,"May 27, 2020"
2020-05-28,FY2020,FY2020 Q4,2020-05-01 00:00:00,28-05-2020
20200529,FY2020,FY2020 Q4,2020-05-01 00:00:00,"May 29, 2020"
2020-05-30 00:00:00,FY-2020,FY2020 Q4,20200501,2020-05-30
05/31/2020,FY2020,FY2020 Q4,2020-05-01,2020-05-31 00:00:00
2020-06-01 00:00:00,2020,FY2020 Q4,01-06-2020,06/01/2020
2020-06-02,FY2020,FY2020 Q4,2020-06-01 00:00:00,06/02/2020
2020-06-03 00:00:00,FY2020,FY2020 Q4,2020-06-01 00:00:00,06/03/2020
2020-06-04 00:00:00,2020,FY2020 Q4,2020-06-01,2020-06-04
20200605,FY2020,FY2020 Q4,"Jun 01, 2020","Jun 05, 2020"
2020-06-06 00:00:00,2020,FY2020 Q4,2020-06-01,06-06-2020
06/07/2020,2020,FY2020 Q4,20200601,20200607
20200608,FY2020,FY2020 Q4,2020-06-01,2020-06-08 00:00:00
2020-06-09,FY2020,FY2020 Q4,06/01/2020,06/09/2020
06/10/2020,FY2020,FY2020 Q4,2020-06-01 00:00:00,2020-06-10
11-06-2020,FY2020,FY2020 Q4,01-06-2020,11-06-2020
12-06-2020,FY2020,FY2020 Q4,06/01/2020,2020-06-12 00:00:00
"Jun 13, 2020",FY2020,FY2020 Q4,06/01/2020,20200613
14-06-2020,FY2020,FY2020 Q4,20200601,2020-06-14 00:00:00
"Jun 15, 2020",FY2020,FY2020 Q4,2020-06-01 00:00:00,2020-06-15
2020-06-16,FY2020,FY2020 Q4,06/01/2020,20200616
17-06-2020,FY2020,FY2020 Q4,20200601,2020-06-17
2020-06-18,FY2020,FY2020 Q4,01-06-2020,20200618
20200619,FY-2020,FY2020 Q4,2020-06-01 00:00:00,19-06-2020
20200620,FY-2020,FY2020 Q4,2020-06-01 00:00:00,06/20/2020
20200621,2020,FY2020 Q4,06/01/2020,20200621
2020-06-22,FY2020,FY2020 Q4,20200601,06/22/2020
20200623,FY2020,FY2020 Q4,06/01/2020,2020-06-23
2020-06-24 00:00:00,FY2020,FY2020 Q4,"Jun 01, 2020",24-06-2020
20200625,FY2020,FY2020 Q4,2020-06-01,06/25/2020
06/26/2020,2020,FY2020 Q4,2020-06-01,26-06-2020
"Jun 27, 2020",FY2020,FY2020 Q4,06/01/2020,06/27/2020
20200628,FY2020,FY2020 Q4,2020-06-01,"Jun 28, 2020"
29-06-2020,FY-2020,FY2020 Q4,"Jun 01, 2020","Jun 29, 2020"
"Jun 30, 2020",FY2020,FY2020 Q4,01-06-2020,2020-06-30
20180401,FY2018,FY2018 Q4,04/01/2018,20180401
2018-04-02 00:00:00,FY2018,FY2018 Q4,01-04-2018,2018-04-02 00:00:00
