BusinessEntityID,CreditCardID,ModifiedDate
613,17308,2007-07-01
615,204,2005-08-01
617,2602,2007-09-01
619,6863,2006-11-01
621,15954,2006-08-01
623,10502,2007-09-01
625,11580,2007-09-01
627,5589,2006-08-01
629,3764,2007-07-01
631,13278,2005-09-01
633,13923,2006-08-01
635,2847,2007-07-01
637,2270,2006-09-01
639,2604,2006-07-01
641,5164,2005-09-01
643,18460,2007-09-01
647,4357,2005-09-01
649,5751,2006-08-01
651,4830,2007-07-01
653,7600,2005-09-01
655,16192,2007-08-01
657,6468,2006-09-01
659,9961,2007-09-01
661,13054,2005-07-01
663,17774,2006-07-01
665,16805,2007-07-01
667,778,2005-09-01
669,14842,2007-07-01
671,19154,2005-09-01
675,230,2007-09-01
681,12529,2007-09-01
683,14497,2006-07-01
685,14064,2005-09-01
687,8342,2007-07-01
689,15364,2007-08-01
691,1912,2006-07-01
693,17935,2005-09-01
695,18328,2007-09-01
697,5301,2005-07-01
699,10526,2006-08-01
701,15282,2006-09-01
703,7167,2005-08-01
705,11274,2007-08-01
707,7832,2007-08-01
709,14371,2006-08-01
713,16871,2005-11-01
715,12135,2005-12-01
717,16939,2007-07-01
719,18908,2007-07-01
721,5618,2005-07-01
723,18407,2005-09-01
725,17073,2005-12-01
727,18323,2005-08-01
729,14261,2007-09-01
731,12554,2006-08-01
733,15829,2006-09-01
735,1039,2007-07-01
737,18049,2005-08-01
739,17658,2005-09-01
741,18502,2005-10-01
743,10336,2006-07-01
745,3827,2006-08-01
751,17669,2005-09-01
753,7092,2005-09-01
757,10553,2007-09-01
759,11781,2005-08-01
761,3070,2006-07-01
763,7392,2005-09-01
765,15443,2006-08-01
767,923,2006-07-01
769,11046,2007-07-01
771,4931,2007-07-01
773,5824,2007-09-01
775,11080,2006-09-01
777,11201,2006-06-01
779,11745,2005-08-01
781,10064,2006-08-01
783,9628,2007-09-01
785,17544,2006-09-01
787,18496,2005-09-01
789,15090,2005-08-01
791,17902,2006-07-01
793,6452,2005-08-01
795,14546,2007-08-01
797,7597,2006-09-01
799,3047,2005-09-01
801,10783,2006-09-01
803,12214,2005-09-01
805,17062,2005-09-01
807,18231,2006-08-01
809,11622,2007-08-01
811,6065,2005-09-01
813,18875,2005-09-01
815,13468,2005-08-01
817,15882,2005-08-01
819,12399,2005-07-01
821,16523,2006-11-01
823,16023,2007-09-01
825,19078,2005-09-01
827,12698,2005-09-01
829,15616,2007-08-01
831,6126,2005-08-01
833,12648,2007-08-01
835,5346,2006-12-01
837,12015,2007-08-01
839,9043,2005-11-01
841,8015,2008-03-01
843,6235,2006-12-01
845,161,2005-08-01
847,6940,2006-08-01
849,7604,2005-09-01
851,1346,2005-07-01
853,8213,2007-09-01
855,11874,2007-09-01
857,19143,2007-07-01
859,18174,2007-09-01
861,10146,2006-09-01
863,18813,2005-09-01
867,16967,2007-09-01
869,11011,2005-08-01
871,3465,2006-09-01
873,12,2006-07-01
875,8579,2007-07-01
877,7146,2005-09-01
879,15538,2005-07-01
881,11555,2005-09-01
883,6675,2005-08-01
885,13480,2006-09-01
887,5099,2007-07-01
889,5995,2007-11-01
891,15319,2006-08-01
893,4511,2008-06-01
895,6955,2005-09-01
897,2759,2005-11-01
899,13246,2005-08-01
901,18591,2006-09-01
903,76,2005-07-01
905,17748,2007-09-01
907,5439,2005-07-01
909,14599,2007-09-01
911,3498,2006-09-01
913,11717,2005-08-01
915,15076,2006-08-01
919,10919,2007-02-01
921,8965,2007-10-01
923,15586,2006-01-01
925,17132,2005-09-01
927,782,2006-09-01
929,11441,2006-07-01
931,14562,2006-07-01
933,19181,2005-08-01
935,15798,2005-08-01
937,10915,2006-09-01
939,706,2007-07-01
941,4662,2007-08-01
943,5710,2006-07-01
945,9386,2007-08-01
947,1699,2006-08-01
949,16754,2006-09-01
951,8850,2006-07-01
953,5868,2006-07-01
957,14803,2006-08-01
959,6191,2005-11-01
961,451,2006-08-01
963,11815,2005-08-01
965,5609,2005-12-01
969,18316,2005-08-01
971,15711,2007-08-01
973,4835,2005-08-01
975,16976,2006-08-01
977,10100,2006-09-01
979,12102,2005-08-01
981,8672,2006-07-01
983,18930,2007-09-01
985,10662,2006-08-01
987,7667,2006-08-01
989,12582,2007-09-01
991,2780,2006-08-01
993,17978,2007-09-01
995,3367,2007-10-01
997,8552,2005-09-01
999,15432,2007-09-01
1001,8217,2006-07-01
1003,5347,2007-09-01
1009,13366,2005-08-01
1011,15682,2005-12-01
1013,14140,2006-09-01
1015,7845,2005-09-01
1017,18153,2005-07-01
1019,6291,2007-09-01
1021,12279,2005-08-01
1023,2274,2007-08-01
1025,17324,2006-09-01
1027,10004,2006-08-01
1029,13694,2007-08-01
1031,14559,2005-08-01
1033,6881,2006-08-01
1035,8399,2007-07-01
1037,9314,2007-09-01
1039,18097,2006-09-01
1041,6535,2007-09-01
1043,14030,2005-07-01
1045,16281,2005-07-01
1047,13699,2006-10-01
1049,11886,2005-07-01
1051,6183,2006-08-01
1053,12371,2007-07-01
1055,16905,2005-08-01
1059,7719,2008-06-01
1061,18495,2006-09-01
1063,4432,2006-09-01
1065,18418,2005-09-01
1067,6083,2006-08-01
1069,17621,2006-08-01
1071,11888,2007-07-01
1073,12030,2006-09-01
1075,14790,2007-09-01
1077,8482,2007-09-01
1079,14234,2007-09-01
1081,11056,2005-09-01
1083,13939,2007-09-01
1085,1417,2005-07-01
1087,12299,2007-08-01
1089,10234,2005-08-01
1091,4443,2006-09-01
1093,18493,2007-08-01
1095,1402,2005-07-01
1099,7001,2007-07-01
1101,5279,2006-08-01
1105,8479,2006-12-01
1107,12177,2005-08-01
1109,7089,2007-09-01
1111,8043,2005-08-01
1113,9617,2006-09-01
1115,18675,2006-08-01
1117,6646,2006-01-01
1119,5651,2006-03-01
1121,59,2007-08-01
1125,16665,2005-08-01
1127,10520,2006-10-01
1129,7831,2007-08-01
1131,10899,2006-09-01
1133,11840,2005-08-01
1135,8991,2005-08-01
1137,11679,2006-07-01
1139,4218,2007-08-01
1141,19174,2006-08-01
1143,14219,2008-06-01
1145,17174,2007-07-01
1147,8882,2005-09-01
1149,5102,2006-09-01
1151,18419,2007-07-01
1153,11744,2006-07-01
1155,15771,2006-08-01
1157,5434,2007-09-01
1159,10909,2007-09-01
1161,11984,2006-07-01
1163,8663,2005-08-01
1165,9212,2007-09-01
1167,12808,2006-09-01
1169,18707,2005-09-01
1171,2668,2007-03-01
1173,2470,2005-08-01
1175,9540,2005-10-01
1177,3586,2007-09-01
1181,2364,2005-08-01
1183,5093,2005-07-01
1185,13693,2005-07-01
1187,5215,2006-09-01
1191,11072,2005-08-01
1195,5424,2007-07-01
1197,9949,2007-07-01
1199,3815,2006-08-01
1201,10191,2006-08-01
1203,11215,2005-09-01
1205,806,2005-07-01
1209,12107,2007-08-01
1211,18428,2006-12-01
1213,9973,2005-08-01
1215,1553,2006-09-01
1217,16978,2006-09-01
1219,15927,2006-08-01
1223,18480,2005-08-01
1227,7475,2005-08-01
1229,8,2007-08-01
1231,1318,2007-08-01
1233,13779,2006-07-01
1235,14606,2006-08-01
1237,4552,2007-08-01
1239,267,2005-07-01
1241,5754,2006-08-01
1243,16253,2005-09-01
1245,16654,2005-12-01
1247,686,2007-09-01
1249,55,2007-09-01
1251,15105,2007-08-01
1253,13064,2006-08-01
1255,19043,2006-07-01
1257,5220,2005-09-01
1259,8091,2007-09-01
1261,12228,2007-08-01
1265,2504,2006-08-01
1269,5343,2005-08-01
1271,4272,2007-08-01
1273,13784,2006-09-01
1275,6280,2007-08-01
1277,10623,2006-09-01
1279,15648,2005-11-01
1281,8219,2007-09-01
1283,7764,2007-09-01
1285,9054,2007-09-01
1287,18047,2006-12-01
1289,5570,2006-08-01
1291,1298,2007-08-01
1293,5661,2006-07-01
1295,12933,2005-09-01
1297,3015,2007-09-01
1299,15144,2007-08-01
1301,14487,2007-07-01
1303,13035,2007-08-01
1305,17455,2007-09-01
1307,8033,2005-09-01
1309,6777,2005-08-01
1311,14454,2005-08-01
1315,7380,2006-08-01
1317,953,2007-09-01
1319,6981,2006-08-01
1321,5110,2005-09-01
1323,11814,2006-09-01
1325,2436,2006-08-01
1327,18364,2006-08-01
1329,15483,2006-09-01
1331,13712,2005-08-01
1333,5668,2006-09-01
1335,371,2006-09-01
1337,10163,2005-07-01
1339,4851,2006-09-01
1341,7182,2007-09-01
1343,3274,2005-08-01
1345,17036,2006-09-01
1349,8103,2005-08-01
1351,15735,2007-09-01
1353,9277,2007-09-01
1355,3788,2005-09-01
1357,19011,2005-09-01
1361,13420,2005-08-01
1363,7454,2005-09-01
1365,14535,2007-07-01
1367,15138,2006-09-01
1369,15018,2007-09-01
1371,15875,2005-10-01
1373,10370,2005-07-01
1375,14542,2006-09-01
1377,1866,2006-09-01
1379,1260,2007-08-01
1381,13088,2008-02-01
1383,8719,2007-08-01
1385,16132,2006-09-01
1387,15784,2006-07-01
1391,16704,2005-12-01
1393,15555,2006-08-01
1395,8235,2007-08-01
1397,3157,2006-08-01
1399,12198,2006-08-01
1403,7898,2007-07-01
1405,9855,2005-08-01
1407,5033,2006-11-01
1409,2687,2006-08-01
1411,10453,2006-11-01
1413,7176,2005-07-01
1415,16439,2006-08-01
1417,10456,2005-07-01
1419,4871,2007-08-01
1421,10395,2006-08-01
1423,15977,2006-08-01
1425,14895,2006-09-01
1427,3600,2006-07-01
1429,6156,2006-07-01
1431,18946,2007-10-01
1433,106,2007-08-01
1435,15448,2005-09-01
1437,4842,2005-08-01
1439,17341,2007-08-01
1441,10139,2007-09-01
1443,14153,2006-09-01
1447,18744,2007-06-01
1449,5690,2006-08-01
1453,18831,2005-11-01
1455,4459,2005-11-01
1457,11652,2005-11-01
1459,7347,2005-12-01
1461,17185,2007-08-01
1463,1642,2007-08-01
1465,7029,2006-11-01
1467,3904,2006-08-01
1469,17239,2006-07-01
1471,12550,2006-09-01
1473,6536,2007-09-01
1475,14152,2007-08-01
1477,18386,2005-11-01
1479,3453,2006-08-01
1481,7672,2007-08-01
1483,6295,2007-09-01
1485,2082,2006-08-01
1489,17982,2007-09-01
1699,16578,2007-09-01
1700,15455,2008-06-05
1701,3243,2006-04-07
1702,1133,2005-10-27
1703,1188,2006-04-18
1704,2853,2006-02-14
1705,7649,2007-10-29
1706,6018,2008-07-16
1707,11094,2007-08-12
1708,4739,2008-02-02
1709,1994,2008-05-18
1710,1643,2006-08-12
1711,1934,2008-03-12
1712,7916,2006-09-03
1713,18844,2007-12-30
1714,10306,2008-07-19
1715,1433,2008-01-08
1716,1016,2008-06-01
1717,11004,2008-04-02
1718,9627,2008-04-23
1719,9055,2006-04-16
1720,2236,2006-08-10
1721,13828,2007-10-12
1722,18395,2007-05-10
1723,17144,2008-01-09
1724,9954,2006-10-03
1725,4694,2008-01-27
1726,6476,2008-02-07
1727,15706,2007-12-25
1728,17100,2008-01-24
1729,18632,2007-02-17
1730,17334,2006-03-31
1731,17851,2008-07-01
1732,10732,2006-01-21
1733,2352,2007-10-02
1734,12836,2008-03-21
1735,4285,2006-07-17
1736,3767,2007-06-04
1737,847,2007-10-02
1738,3571,2007-10-08
1739,92,2008-03-14
1740,18914,2007-01-09
1741,15389,2008-03-03
1742,5233,2008-03-20
1743,1405,2007-08-22
1744,15322,2008-04-28
1745,3396,2005-09-30
1746,749,2007-04-28
1747,11533,2008-01-15
1748,5229,2008-06-20
1749,8309,2007-08-11
1750,2583,2007-06-07
1751,3819,2008-04-20
1752,8584,2008-03-26
1753,7245,2008-04-20
1754,17325,2007-10-04
1755,9850,2006-06-28
1756,18892,2006-08-26
1757,15055,2007-01-08
1758,14908,2007-12-28
1759,9669,2007-12-16
1760,13682,2007-08-06
1761,16311,2008-02-29
1762,3868,2008-01-21
1763,7563,2008-02-28
1764,18984,2008-06-15
1765,2457,2007-12-01
1766,2911,2008-05-26
1767,9143,2008-06-02
1768,8711,2006-09-04
1769,16746,2005-10-17
1770,10049,2005-11-24
1771,9675,2008-06-14
1772,483,2007-12-03
1773,6545,2007-12-29
1774,17398,2006-11-27
1775,7173,2008-05-16
1776,5363,2007-06-04
1777,1488,2007-08-14
1778,14282,2007-10-23
1779,8017,2008-02-06
1780,17136,2007-06-21
1781,9580,2008-06-23
1782,4183,2007-04-13
1783,13094,2008-07-14
1784,15584,2006-03-24
1795,18037,2006-08-01
1797,5089,2006-09-01
1801,17263,2006-08-01
1803,15453,2007-09-01
1805,11599,2007-02-01
1807,10713,2007-09-01
1809,895,2007-09-01
1811,2058,2007-08-01
1813,5065,2007-08-01
1815,6546,2006-09-01
1817,13951,2007-09-01
1821,18656,2006-07-01
1823,2666,2007-02-01
1825,8784,2006-07-01
1827,10628,2005-08-01
1829,13971,2006-09-01
1831,18354,2006-08-01
1833,2658,2006-08-01
1835,9506,2006-09-01
1837,4626,2006-11-01
1839,14928,2006-07-01
1841,4304,2006-09-01
1843,1651,2006-09-01
1845,18825,2007-07-01
1849,13349,2005-07-01
1851,1446,2007-09-01
1855,14226,2007-08-01
1857,14975,2006-08-01
1859,1896,2005-08-01
1861,1324,2006-07-01
1863,3088,2005-11-01
1865,14595,2007-08-01
1867,15155,2006-08-01
1869,2318,2007-08-01
1871,9141,2007-08-01
1873,1444,2007-08-01
1875,11685,2006-06-01
1877,1862,2006-07-01
1879,2880,2007-09-01
1881,3980,2005-07-01
1883,7079,2005-09-01
1885,5666,2007-09-01
1887,15177,2007-07-01
1889,17491,2007-09-01
1891,10343,2007-09-01
1893,5804,2007-08-01
1895,18260,2005-08-01
1897,2571,2006-07-01
1899,4941,2005-08-01
1901,9959,2006-08-01
1903,1772,2007-08-01
1905,206,2007-12-01
1909,8263,2007-09-01
1911,10928,2007-12-01
1913,10305,2007-09-01
1915,3653,2006-09-01
1917,2519,2005-07-01
1923,12671,2006-08-01
1925,10156,2007-08-01
1927,11119,2007-09-01
1929,17915,2005-09-01
1931,4385,2007-09-01
1933,7126,2005-09-01
1935,6005,2005-08-01
1937,5467,2007-09-01
1939,11050,2007-08-01
1943,3059,2006-08-01
1945,13104,2005-08-01
1947,10,2005-10-01
1949,11179,2007-09-01
1951,4260,2006-07-01
1953,12779,2007-06-01
1955,3368,2005-08-01
1957,4855,2007-08-01
1959,4834,2006-12-01
1961,336,2006-08-01
1963,10422,2006-07-01
1965,14468,2006-09-01
1967,7160,2005-09-01
1969,6386,2005-08-01
1971,8292,2006-08-01
1975,17645,2006-07-01
1977,14133,2006-09-01
1979,569,2005-08-01
1981,9635,2006-08-01
1983,11645,2006-09-01
1985,12746,2006-07-01
1987,18911,2006-08-01
1989,11416,2007-07-01
1991,4623,2005-08-01
1993,16569,2006-09-01
2380,6791,2008-07-29
2381,13962,2008-05-21
2382,5196,2008-03-14
2383,1657,2008-02-06
2384,2391,2007-02-22
2385,10676,2008-03-18
2386,6465,2008-06-14
2387,759,2005-11-13
2388,14128,2007-02-21
2389,18606,2007-10-06
2390,12157,2006-12-19
2391,17735,2006-05-22
2392,3924,2007-05-03
2393,11415,2006-01-16
2394,175,2006-08-21
2395,9529,2007-06-14
2396,3824,2007-09-21
2397,12128,2007-11-07
2398,12978,2006-08-18
2399,5857,2005-12-28
2400,18171,2008-01-06
2401,3316,2008-06-15
2402,17464,2006-04-27
2403,17903,2007-06-20
2404,528,2006-08-13
2405,730,2008-07-06
2406,9249,2007-12-14
2407,7601,2008-06-22
2408,2902,2007-10-20
2409,16032,2005-08-21
2410,11144,2006-01-28
2411,2529,2008-07-05
2412,8590,2007-09-01
2413,11164,2008-03-19
2414,11294,2008-02-22
2415,4817,2007-10-29
2416,9099,2008-04-28
2417,2828,2008-04-02
2418,16443,2008-07-29
2419,12335,2007-12-20
2420,15288,2007-02-17
2421,4118,2007-11-03
2422,10059,2007-04-13
2423,14610,2007-10-20
2424,15777,2008-05-05
2425,14881,2007-11-20
2426,8374,2007-05-17
2427,9965,2008-01-20
2428,11987,2008-06-17
2429,11872,2006-02-09
2430,5865,2008-04-12
2431,5119,2008-04-12
2432,12975,2007-08-29
2433,4082,2008-05-16
2434,10454,2005-09-30
2435,3169,2008-01-17
2436,12125,2007-03-14
2437,17623,2007-05-12
2438,11890,2007-01-15
2439,1813,2007-12-19
2440,13288,2007-08-19
2441,16228,2008-04-03
2442,1947,2006-09-03
2443,1814,2005-12-05
2444,591,2007-10-04
2445,6359,2008-06-20
2446,7608,2008-06-06
2447,14894,2008-04-19
2448,3884,2008-01-14
2449,2220,2006-08-02
2450,3583,2008-03-18
2451,14075,2008-01-04
2452,18028,2008-06-07
2453,13629,2007-04-18
2454,5227,2006-08-08
2455,4568,2008-01-24
2456,3136,2006-07-30
2457,2948,2007-11-14
2458,18712,2008-06-03
2459,13763,2006-10-15
2460,9704,2007-09-08
2461,16479,2007-03-21
2462,10384,2006-04-03
2463,9430,2006-07-18
2464,9839,2007-12-23
2465,7290,2008-06-20
2466,1609,2007-09-07
2467,5786,2008-07-04
2468,12704,2007-12-09
2469,8890,2006-06-25
2470,3338,2008-01-18
2471,6786,2006-10-14
2472,13200,2005-09-23
2473,18235,2005-12-11
2474,12233,2007-11-19
2475,18363,2007-11-11
2476,12420,2008-07-22
2477,1095,2007-09-15
2478,5396,2008-05-18
2479,14252,2006-07-11
2480,9035,2008-01-27
2481,11768,2006-10-29
2482,805,2007-10-23
2483,6145,2008-04-06
2484,9761,2008-02-16
2485,15461,2006-11-28
2486,16848,2006-09-20
2487,16920,2007-05-22
2488,4747,2007-08-04
2489,140,2007-07-25
2490,6607,2007-10-08
2491,14739,2007-11-05
2492,5706,2006-07-30
2493,3120,2006-09-04
2494,13884,2008-03-03
2495,14171,2008-06-15
2496,12450,2007-04-15
2497,1060,2007-06-14
2498,8527,2007-12-10
2499,16485,2008-03-01
2500,1797,2007-08-27
2501,1903,2005-11-16
2502,10412,2007-11-03
2503,7204,2006-08-06
2504,18527,2008-04-01
2505,12425,2008-06-01
2506,2974,2007-10-10
2507,14904,2007-01-20
2508,3273,2007-10-04
2509,13808,2008-03-26
2510,239,2007-06-24
2511,594,2007-09-04
2512,10263,2006-06-22
2513,4363,2007-09-25
2514,3588,2007-12-24
2515,17799,2006-05-26
2516,2794,2007-06-10
2517,4910,2006-03-25
2518,18703,2007-06-15
2519,11635,2007-12-28
2520,14292,2007-12-01
2521,12801,2005-07-15
2522,7177,2008-03-30
2523,18634,2008-07-01
2524,446,2008-03-05
2525,14972,2007-01-01
2526,15638,2005-09-17
2527,6517,2006-05-17
2528,10948,2006-03-03
2529,3040,2007-05-03
2530,12467,2008-04-18
2531,4089,2006-10-11
2532,17744,2007-01-22
2533,7677,2008-05-13
2534,11871,2007-10-12
2535,16800,2008-03-28
2536,12325,2008-02-06
2537,18168,2007-11-26
2538,957,2006-06-09
2539,9266,2008-04-25
2540,8388,2007-10-19
2541,7653,2007-06-30
2542,16388,2007-04-20
2543,13320,2007-06-10
2544,17433,2008-05-26
2545,10757,2007-08-23
2546,9379,2006-03-15
2547,15263,2007-02-18
2548,9834,2008-02-18
2549,633,2008-06-25
2550,6197,2007-05-27
2551,18412,2008-01-09
2552,600,2006-02-22
2553,11611,2008-05-19
2554,16990,2008-01-16
2555,2619,2007-12-27
2556,14291,2005-09-24
2557,15973,2007-12-01
2558,3803,2005-07-23
2559,7518,2008-06-14
2560,2480,2005-07-22
2561,1459,2007-12-02
2562,18072,2005-12-08
2563,15917,2007-11-01
2564,18874,2006-09-08
2565,12849,2007-01-10
2566,12621,2006-12-14
2567,6951,2008-02-20
2568,10034,2007-10-05
2569,1629,2006-03-15
2570,7880,2007-05-20
2571,2136,2005-10-12
2572,6101,2007-12-05
2573,15002,2008-03-27
2574,11547,2006-06-07
2575,3637,2007-11-29
2576,7301,2007-09-09
2577,14769,2007-11-02
2578,7341,2005-12-21
2579,3150,2008-07-02
2580,11400,2008-04-20
2581,9986,2006-07-07
2582,15622,2008-01-21
2583,19053,2007-08-15
2584,6077,2007-10-01
2585,1685,2007-11-28
2586,7913,2008-04-16
2587,6166,2006-05-15
2588,8929,2007-11-26
2589,19227,2008-05-29
2590,5335,2007-01-15
2591,11946,2006-08-18
2592,6066,2007-04-20
2593,9640,2006-07-18
2594,4471,2008-02-27
2595,3207,2006-08-21
2596,791,2008-06-05
2597,16713,2007-11-05
2598,1485,2007-01-23
2599,17666,2007-09-27
2600,12752,2008-03-22
2601,9265,2008-02-19
2602,12184,2007-10-14
2603,3927,2006-12-12
2604,9413,2006-08-18
2605,8110,2007-09-07
2606,7955,2008-02-11
2607,16149,2007-09-02
2608,12795,2008-06-15
2609,5141,2005-12-16
2610,11777,2008-06-06
2611,1136,2007-08-25
2612,10250,2007-04-08
2613,4864,2008-06-29
2614,1079,2006-01-26
2615,13867,2005-12-19
2616,3551,2008-04-11
2617,9229,2008-03-30
2618,13873,2007-12-30
2619,4728,2007-07-20
2620,7407,2008-05-01
2621,17557,2008-06-10
2622,2818,2008-04-08
2623,900,2008-03-07
2624,14032,2008-02-20
2625,18836,2008-04-27
2626,7589,2007-09-02
2627,6025,2007-03-17
2628,17986,2008-02-01
2629,13669,2007-11-07
2630,540,2007-06-17
2631,12162,2005-11-14
2632,9118,2006-07-30
2633,15578,2008-04-04
2634,6598,2008-03-14
2635,18103,2008-03-19
2636,17703,2006-12-27
2637,872,2007-06-08
2638,1494,2008-01-06
2639,8845,2008-02-24
2640,16432,2007-10-09
2641,10770,2008-02-01
2642,3205,2007-12-28
2643,6453,2008-02-10
2644,8097,2007-01-22
2645,12362,2005-12-02
2646,12310,2007-08-28
2647,16207,2006-04-27
2648,46,2008-01-08
2649,4394,2008-05-17
2650,7366,2007-08-26
2651,14254,2006-02-26
2652,11713,2007-08-30
2653,3269,2007-10-03
2654,10478,2008-02-03
2655,14416,2007-01-23
2656,10223,2006-02-07
2657,6867,2008-05-17
2658,5116,2007-06-13
2659,5031,2006-07-10
2660,19119,2008-05-25
2661,13908,2007-08-21
2662,16594,2007-10-15
2663,7482,2006-12-18
2664,17642,2008-04-04
2665,7327,2007-10-08
2666,17005,2008-02-19
2667,17008,2008-02-29
2668,15407,2006-07-26
2669,10997,2007-10-14
2670,8172,2008-04-21
2671,8494,2007-06-06
2672,12985,2006-11-27
2673,19002,2007-09-16
2674,7485,2005-07-16
2675,18019,2008-06-05
2676,17122,2007-11-01
2677,13572,2007-11-08
2678,1520,2006-05-01
2679,12153,2006-05-25
2680,47,2007-07-09
2681,12619,2007-08-22
2682,399,2007-08-19
2683,10216,2008-06-19
2684,4269,2007-07-09
2685,18925,2005-08-29
2686,15527,2008-04-15
2687,4227,2006-03-04
2688,12298,2006-04-12
2689,4139,2007-11-14
2690,11581,2007-12-27
2691,8608,2006-07-08
2692,4074,2007-12-11
2693,18917,2008-04-03
2694,6983,2008-03-28
2695,8302,2008-04-12
2696,16557,2007-08-03
2697,7929,2007-12-24
2698,15943,2008-03-18
2699,16834,2007-12-16
2700,7840,2008-06-26
2701,10348,2008-07-01
2702,11624,2007-11-20
2703,4570,2007-08-03
2704,13598,2008-03-07
2705,666,2007-11-21
2706,12788,2007-09-10
2707,6952,2006-06-23
2708,14015,2008-02-03
2709,13337,2007-04-07
2710,157,2005-10-21
2711,1350,2008-06-19
2712,9370,2008-05-05
2713,1341,2007-12-09
2714,15235,2007-09-03
2715,14007,2008-05-30
2716,6311,2008-07-15
2717,347,2007-10-10
2718,7228,2008-01-05
2719,13701,2007-01-20
2720,18202,2008-04-01
2721,14564,2008-02-10
2722,17802,2006-01-15
2723,11667,2008-06-11
2724,2166,2007-11-11
2725,4535,2008-01-30
2726,6986,2006-12-24
2727,18972,2008-06-28
2728,14856,2007-12-10
2729,5356,2008-01-23
2730,8340,2008-02-15
2731,131,2006-03-28
2732,14815,2006-12-24
2733,4529,2007-09-27
2734,19234,2007-10-31
2735,19210,2008-03-21
2736,13930,2008-05-08
2737,17985,2006-10-22
2738,18456,2008-03-07
2739,5844,2008-01-20
2740,7540,2006-12-22
2741,7055,2008-02-01
2742,3985,2007-09-09
2743,14941,2006-12-12
2744,17934,2007-07-29
2745,16304,2007-08-31
2746,18355,2007-08-16
2747,3431,2008-03-17
2748,17192,2007-12-22
2749,5132,2008-03-02
2750,17738,2006-03-25
2751,11075,2008-05-30
2752,7870,2007-12-29
2753,10310,2007-10-05
2754,5287,2008-04-29
2755,1365,2008-03-29
2756,10452,2008-02-05
2757,13640,2007-11-18
2758,16784,2007-06-28
2759,10570,2005-09-15
2760,9048,2008-02-15
2761,12617,2007-11-29
