BAN,CREATE_MONTH,START_MONTH,CREATE_WEEK,START_WEEK,ACCOUNT_DESC,LINES REQUESTED,AGE_GROUP,HCDP_IND,HCDM_IND,HCDS_IND,ADR_PROVINCE,CHANNEL_TYPE
9818713183880,2010-02,2010-02,2010-02-06,2010-02-06,Business - Personal,6,50+,,,,QC,Corporate Stores
9817762172378,2009-08,2009-08,2009-08-08,2009-08-08,Business - Personal,4,18-30,,,,  QC ,Corporate Stores
9817173173415,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,,41-50,,,,qc,Dealers
9817179179064,2009-04,2009-04,2009-04-04,2009-04-11,Business - Personal,3,18-30,,,,BC,Dealers
9818722182581,2010-02,,2010-02-06,,Business - Personal,6,31-40,,,,ON,Dealers
9818573183848,2010-01,2010-01,2010-01-09,2010-01-09,Business - Personal,5,50+,,,,ON,Corporate Stores
9817933173807,2009-09,2009-09,2009-09-05,05/09/2009,Business - Personal,4,18-30,,,,AB,Corporate Stores
9819929199999,2010-10,2010-10,2010-10-02,2010-10-02,Business - Personal,6,18-30,,,,QC,Corporate Stores
9819115195727,2010-05,2010-05,2010-05-01,2010-05-01,Business - Personal,8,50+,,,,ON,Dealers
9819256196843,2010-06,,2010/06/05,,Business - Personal,8,  31-40 ,,,,QC,Dealers
9817628178178,2009-07,2009-07,11/07/2009,2009-07-11,Business - Personal,4,50+,,,,ON,Corporate Stores
9819783193761,2010-09,2010-09,11/09/2010,2010/09/11,Business - Personal,6,41-50,,,,on,CORPORATE STORES
9819423193307,2010-07,2010-07,2010-07-03,2010-07-03,Business - Personal,1,18-30,,,,QC,Corporate Stores
9819114194426,2010-05,2010-05,2010-05-01,01/05/2010,Business - Personal,8,18-30,,,,ON,CORPORATE STORES
9817624174668,2009-07,2009-07,2009-07-04,04/07/2009,Business - Personal,3,18-30,,,,QC,  Dealers 
9819777197512,2010-09,,2010-09-04,,Business - Personal,6,18-30,,,,QC,Corporate Stores
9819769199683,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,6,31-40,,,,ON,Dealers
9819760190958,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,6,31-40,,,,BC,Dealers
9819130190633,2010-05,2010-05,2010-05-08,2010-05-08,Business - Personal,8,50+,,,,ON,Corporate Stores
9819762192027,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,2,41-50,,,,QC,Dealers
9821259219623,2010-12,2010-12,2010-12-04,2010/12/04,Business - Personal,4,31-40,,,,ON,Corporate Stores
9819933193466,2010-10,2010-10,2010-10-02,02/10/2010,Business - Personal,6,31-40,,,,QC,Dealers
9819421191038,2010-07,2010-07,2010-07-03,2010/07/03,Business - Personal,1,41-50,,,,AB,corporate stores
9818572182835,2010-01,2010-01,2010-01-09,2010-01-09,Business - Personal,2,31-40,,,,qc,Corporate Stores
9819755195860,2010-09,,2010-09-04,,Business - Personal,6,50+,,HCDM,,BC,DEALERS
9817158178595,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,,50+,,,,ON,DEALERS
9821259219394,2010-12,2010-12,2010/12/04,2010-12-04,Business - Personal,2,31-40,HCDP,,HCDS,QC,Dealers
9819778198929,2010-09,2010-11,2010-09-04,2010/11/27,Business - Personal,3,18-30,,,,  AB ,corporate stores
9817934174112,2009-09,2009-09,2009-09-05,2009-09-05,Business - Personal,4,41-50,,,,BC,Corporate Stores
9817175175722,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,3,18-30,,,,qc,Corporate Stores
9818714184159,2010-02,2010-02,2010-02-06,2010-02-06,Business - Personal,6,41-50,,,,QC,Corporate Stores
9817618178789,2009-07,2009-07,2009-07-04,2009-07-04,Business - Personal,3,50+,,,,ON,Corporate Stores
9817468178669,2009-06,,2009-06-06,,Business - Personal,3,41-50,,,,AB,  Corporate Stores 
9818566186261,2010-01,2010-01,2010-01-02,2010/01/02,Business - Personal,5,31-40,,,,  AB ,Dealers
9817315175114,2009-05,2009-05,2009/05/02,2009-05-02,Business - Personal,3,41-50,,,,ON,Dealers
9818585185555,2010-01,2010-01,2010-01-09,2010-01-09,Business - Personal,5,41-50,,,,BC,Dealers
9819118198049,2010-05,2010-05,2010-05-08,2010-05-08,Business - Personal,8,41-50,,,,BC,Dealers
9817615175445,2009-07,2009-07,2009-07-04,2009-07-04,Business - Personal,3,18-30,,,,QC,Dealers
9817327177931,2009-05,,2009-05-09,,Business - Personal,3,41-50,,HCDM,,AB,  Corporate Stores 
9817017177673,2009-03,,2009-03-07,,Business - Personal,2,31-40,,,,ON,corporate stores
9816767167626,2009-01,2009-01,2009-01-03,2009-01-03,Business - Personal,,41-50,,,,QC,Corporate Stores
9817170170528,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,3,50+,,,,QC,CORPORATE STORES
9818703183649,2010-02,2010-02,2010-02-06,2010-02-06,Business - Personal,6,41-50,,,,ON,Dealers
9821264214380,2010-12,2010-12,2010/12/04,2010/12/04,Business - Personal,1,50+,,,,QC,Corporate Stores
9817325175369,2009-05,2009-05,2009-05-09,2009-05-09,Business - Personal,3,41-50,,,,ON,Corporate Stores
9818973183520,2010-04,2010-04,2010-04-03,2010-04-03,Business - Personal,7,18-30,,,,QC,CORPORATE STORES
9817930170948,2009-09,,05/09/2009,2009-09-05,Business - Personal,4,31-40,,,,ON,corporate stores
9819117197164,2010-05,2010-09,2010-05-08,2010-09-11,Business - Personal,8,18-30,,,,QC,CORPORATE STORES
9821258218863,2010-12,2010-12,2010-12-04,2010-12-04,Business - Personal,2,41-50,,,,QC,Corporate Stores
9819132192972,2010-05,,2010-05-08,,Business - Personal,8,18-30,,,,AB,Corporate Stores
9817615175792,2009-07,,2009-07-04,,Business - Personal,3,50+,,,,  QC ,Corporate Stores
9819116196687,2010-05,2010-05,08/05/2010,08/05/2010,Business - Personal,8,18-30,,,,QC,  Dealers 
9818574184231,2010-01,2010-01,2010-01-09,2010/01/09,Business - Personal,2,31-40,HCDP,,HCDS,QC,Corporate Stores
9817612172025,2009-07,2009-07,2009-07-04,2009-07-04,Business - Personal,3,41-50,,,,QC,Corporate Stores
9819115195877,2010-05,,2010-05-01,,Business - Personal,8,41-50,,,,BC,Dealers
9821273213129,2010-12,,2010-12-04,,Business - Personal,1,31-40,,,,QC,  Corporate Stores 
9818375185238,2009-12,,2009-12-05,,Business - Personal,5,31-40,,,,ON,Dealers
9816916166923,2009-02,2009-02,2009/02/07,2009-02-07,Business - Personal,,41-50,,HCDM,,BC,Dealers
9816767167561,2009-01,2009-01,03/01/2009,03/01/2009,Business - Personal,,50+,,,,AB,Corporate Stores
9818837187114,2010-03,2010-03,06/03/2010,2010-03-06,Business - Personal,,18-30,,,,ON,Corporate Stores
9819937197579,2010-10,2010-10,2010-10-02,02/10/2010,Business - Personal,3,31-40,,,,ON,Corporate Stores
9818113183636,2009-10,,2009-10-10,,Business - Personal,5,31-40,,,,QC,Corporate Stores
9819784194741,2010-09,2010-09,2010/09/11,2010-09-11,Business - Personal,6,41-50,,,,QC,Dealers
9819592192037,2010-08,2010-08,2010-08-07,2010/08/07,Business - Personal,1,41-50,,,,AB,Dealers
9819277197659,2010-06,2010-06,2010-06-05,05/06/2010,Business - Personal,8,18-30,,,,QC,Corporate Stores
9817933173600,2009-09,2009-09,2009/09/05,2009-09-05,Business - Personal,4,31-40,,,,QC,Corporate Stores
9819115195560,2010-05,2010-05,2010-05-01,2010-05-01,Business - Personal,8,41-50,HCDP,,HCDS,BC,DEALERS
9819261191519,2010-06,,2010-06-05,,Business - Personal,8,41-50,,,,QC,Corporate Stores
9819411191602,2010-07,,03/07/2010,,Business - Personal,1,41-50,,HCDM,,BC,Corporate Stores
9817466176883,2009-06,,06/06/2009,,Business - Personal,3,50+,,,,ON,Dealers
9817476176062,2009-06,2009-06,2009-06-06,2009-06-06,Business - Personal,3,31-40,,,,ON,Corporate Stores
9818840180839,2010-03,2010-03,2010-03-06,2010-03-06,Business - Personal,7,50+,,,,BC,dealers
9817935175589,2009-09,2009-09,2009-09-05,2009/09/05,Business - Personal,,41-50,,,,BC,Dealers
9821280210974,2010-12,2010-12,2010-12-04,2010-12-04,Business - Personal,8,31-40,,,,AB,  Dealers 
9819935195675,2010-10,,2010-10-02,,Business - Personal,3,18-30,,,,ON,Corporate Stores
9817313173234,2009-05,,2009/05/02,,Business - Personal,3,41-50,,,,ON,Dealers
9818239189929,2009-11,2009-11,2009/11/07,2009-11-07,Business - Personal,5,50+,,,,QC,Corporate Stores
9818718188111,2010-02,2010-02,06/02/2010,2010-02-20,Business - Personal,6,41-50,,,,QC,Corporate Stores
9819771191780,2010-09,,2010-09-04,,Business - Personal,6,31-40,,,,ON,corporate stores
9818378188544,2009-12,2009-12,2009-12-05,2009-12-05,Business - Personal,5,41-50,,,,ON,Corporate Stores
9821264214764,2010-12,2010-12,2010-12-04,2010-12-04,Business - Personal,4,41-50,,,,ON,dealers
9816908168672,2009-02,2009-02,2009-02-07,2009-02-07,Business - Personal,2,41-50,,,,ON,CORPORATE STORES
9821137217961,2010-11,,2010-11-06,,Business - Personal,2,31-40,HCDP,,HCDS,QC,Corporate Stores
9818115185492,2009-10,2009-10,2009/10/10,2009-10-10,Business - Personal,5,41-50,HCDP,,HCDS,ON,Dealers
9816764164003,2009-01,2009-01,2009-01-03,2009-01-03,Business - Personal,,18-30,,,,ON,CORPORATE STORES
9819255195296,2010-06,,2010/06/05,,Business - Personal,8,41-50,,,,QC,Corporate Stores
9817172172729,2009-04,,2009-04-04,,Business - Personal,,18-30,,,,ON,Dealers
9819782192278,2010-09,2010-09,11/09/2010,2010-09-11,Business - Personal,6,41-50,,,,QC,Corporate Stores
9819953193071,2010-10,2010-10,2010-10-09,09/10/2010,Business - Personal,4,18-30,,,,ON,dealers
9817161171890,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,,31-40,,,,BC,corporate stores
9817019179452,2009-03,,2009-03-07,,Business - Personal,2,41-50,,,,ON,Corporate Stores
9818377187427,2009-12,2009-12,2009-12-05,2009-12-05,Business - Personal,5,41-50,,,,ON,Corporate Stores
9819756196142,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,2,41-50,,,,QC,Dealers
9819426196352,2010-07,,2010-07-10,,Business - Personal,1,31-40,HCDP,,,ab,CORPORATE STORES
9817157177748,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,3,41-50,,,,ON,Corporate Stores
9818117187706,2009-10,2009-10,2009-10-10,2009-10-10,Business - Personal,5,50+,,,,AB,Dealers
9817609179104,2009-07,2009-07,2009-07-04,04/07/2009,Business - Personal,,31-40,,,,ON,corporate stores
9819427197940,2010-07,2010-07,2010-07-10,2010/07/10,Business - Personal,1,50+,HCDP,,HCDS,on,Corporate Stores
9819423193566,2010-07,2010-07,2010-07-03,03/07/2010,Business - Personal,1,18-30,,,,  BC ,Corporate Stores
9818975185923,2010-04,,03/04/2010,,Business - Personal,7,18-30,,,,QC,DEALERS
9819266196535,2010-06,2010-06,2010-06-05,05/06/2010,Business - Personal,8,50+,,,,bc,Dealers
9817177177105,2009-04,,2009-04-04,,Business - Personal,3,18-30,HCDP,,HCDS,ON,Dealers
9819778198334,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,6,41-50,,,,ON,Corporate Stores
9818580180454,2010-01,2010-01,2010-01-09,2010/01/09,Business - Personal,5,  18-30 ,,,,ON,Corporate Stores
9819585195938,2010-08,2010-08,2010-08-07,2010-08-07,Business - Personal,,41-50,,,,ON,Dealers
9819933193989,2010-10,,2010-10-02,,Business - Personal,3,31-40,,,,ON,Dealers
9817176176604,2009-04,2009-04,2009/04/04,2009-04-04,Business - Personal,3,31-40,,,,AB,Dealers
9817022172993,2009-03,2009-03,2009/03/07,2009-03-07,Business - Personal,2,31-40,,,,BC,Dealers
9818843183622,2010-03,,2010-03-06,,Business - Personal,7,41-50,,,,ON,Dealers
9821282212526,2010-12,2010-12,2010-12-11,2010-12-11,Business - Personal,8,50+,,,,AB,Dealers
9819583193622,2010-08,2010-08,2010-08-07,2010-08-07,Business - Personal,1,50+,,,,QC,corporate stores
9819783193409,2010-09,,11/09/2010,,Business - Personal,6,31-40,,,,ON,Corporate Stores
9819428198066,2010-07,2010-07,2010-07-10,2010-07-10,Business - Personal,1,50+,,,,on,Corporate Stores
9817326176860,2009-05,,2009-05-09,,Business - Personal,3,18-30,,,,AB,Corporate Stores
9819582192033,2010-08,,2010-08-07,,Business - Personal,2,18-30,,,,ON,corporate stores
9819777197369,2010-09,2010-09,04/09/2010,2010/09/04,Business - Personal,6,41-50,,,,BC,Corporate Stores
9817776176928,2009-08,2009-08,2009-08-08,2009-08-08,Business - Personal,4,41-50,,,,ON,Corporate Stores
9817468178635,2009-06,2009-06,2009-06-06,2009-06-06,Business - Personal,3,50+,,,,ON,Dealers
9819428198234,2010-07,2010-07,2010/07/10,2010/07/10,Business - Personal,1,41-50,,,,QC,Dealers
9818117187790,2009-10,2009-10,2009-10-10,2009/10/10,Business - Personal,5,41-50,,,,BC,Dealers
9817024174383,2009-03,,07/03/2009,,Business - Personal,,  18-30 ,,,,ON,Corporate Stores
9818979189769,2010-04,2010-04,2010-04-03,03/04/2010,Business - Personal,7,50+,,,,ON,Dealers
9818117187108,2009-10,2009-10,2009-10-10,2009-10-10,Business - Personal,5,41-50,HCDP,,HCDS,ON,Corporate Stores
9819426196474,2010-07,2010-07,2010/07/10,2010-07-10,Business - Personal,1,50+,,,,  ON ,Corporate Stores
9817765175309,2009-08,,2009-08-08,,Business - Personal,4,18-30,,,,ON,Corporate Stores
9821277217379,2010-12,2010-12,04/12/2010,04/12/2010,Business - Personal,1,41-50,,,,QC,Corporate Stores
9821138218207,2010-11,2010-11,2010-11-06,2010-11-06,Business - Personal,4,41-50,,,,ON,Dealers
9817020170717,2009-03,2009-03,2009-03-07,2009-03-07,Business - Personal,2,  41-50 ,HCDP,HCDM,HCDS,QC,CORPORATE STORES
9819930190670,2010-10,,2010-10-02,,Business - Personal,6,18-30,HCDP,,,BC,Corporate Stores
9819769199198,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,2,41-50,,,,QC,Corporate Stores
9818248188568,2009-11,,2009-11-07,,Business - Personal,5,18-30,,,,ON,Dealers
9821141211243,2010-11,2010-11,2010-11-06,06/11/2010,Business - Personal,2,31-40,,,,QC,Corporate Stores
9817763173090,2009-08,2009-08,2009-08-08,08/08/2009,Business - Personal,4,31-40,,,,ON,Dealers
9817174174490,2009-04,2009-04,2009-04-04,04/04/2009,Business - Personal,3,41-50,,,,QC,Corporate Stores
9816773163745,2009-01,,2009-01-03,,Business - Personal,,41-50,HCDP,,HCDS,ON,Dealers
9818843183248,2010-03,2010-03,06/03/2010,2010-03-06,Business - Personal,7,50+,,,,ON,CORPORATE STORES
9818577187329,2010-01,,09/01/2010,,Business - Personal,5,41-50,,HCDM,,ON,Corporate Stores
9817015175315,2009-03,2009-03,2009-03-07,2009-03-07,Business - Personal,2,41-50,,,,on,Dealers
9821129219673,2010-11,,2010-11-06,,Business - Personal,4,50+,,,,ON,Corporate Stores
9819576196808,2010-08,,2010-08-07,,Business - Personal,1,18-30,,,,QC,Corporate Stores
9818361181840,2009-12,,05/12/2009,,Business - Personal,5,41-50,HCDP,,HCDS,ON,DEALERS
9821260210371,2010-12,2010-12,2010-12-04,04/12/2010,Business - Personal,3,  41-50 ,,,,BC,Dealers
9817618178256,2009-07,2009-07,2009-07-04,2009-07-04,Business - Personal,3,18-30,,,,QC,  Corporate Stores 
9818382182485,2009-12,,05/12/2009,,Business - Personal,5,18-30,,,,  ON ,Corporate Stores
9817175175631,2009-04,2009-05,04/04/2009,2009-05-16,Business - Personal,3,18-30,HCDP,,HCDS,ON,Dealers
9818093183688,2009-10,2009-10,2009/10/03,2009-10-03,Business - Personal,,31-40,,,,ON,Dealers
9821278218730,2010-12,,04/12/2010,,Business - Personal,1,50+,,,,QC,dealers
9816772162248,2009-01,,2009/01/03,,Business - Personal,,31-40,,,,ON,dealers
9816783163267,2009-01,2009-01,10/01/2009,2009-01-10,Business - Personal,1,31-40,,,,AB,Dealers
9817622172674,2009-07,2009-07,2009/07/04,2009-07-04,Business - Personal,3,41-50,,,,ON,CORPORATE STORES
9818977187084,2010-04,,2010-04-03,,Business - Personal,7,41-50,HCDP,,HCDS,QC,Dealers
9819778198015,2010-09,,04/09/2010,,Business - Personal,6,50+,,,,QC,Corporate Stores
9819420190429,2010-07,,2010-07-03,,Business - Personal,1,18-30,,,,QC,Corporate Stores
9819424194309,2010-07,2010-07,2010-07-10,2010-07-10,Business - Personal,1,41-50,,,,ON,Dealers
9819268198814,2010-06,2010-06,2010-06-05,2010-06-05,Business - Personal,8,18-30,,,,AB,Corporate Stores
9818363183094,2009-12,2009-12,05/12/2009,2009/12/05,Business - Personal,5,  41-50 ,,,,  ON ,Corporate Stores
9819425195665,2010-07,2010-07,2010-07-10,2010/07/10,Business - Personal,1,50+,,,,QC,Corporate Stores
9821130210156,2010-11,2010-11,06/11/2010,2010-11-06,Business - Personal,2,50+,,,,QC,CORPORATE STORES
9819569199852,2010-08,2010-08,2010-08-07,2010-08-07,Business - Personal,1,18-30,,,,QC,  Corporate Stores 
9817628178117,2009-07,2009-07,2009-07-11,2009-07-11,Business - Personal,4,  50+ ,,,,on,Corporate Stores
9818384184474,2009-12,,2009-12-05,,Business - Personal,2,41-50,,,,QC,  Corporate Stores 
9818981181031,2010-04,2010-04,2010-04-03,2010-04-03,Business - Personal,7,41-50,,,,on,Corporate Stores
9821282212740,2010-12,2010-12,11/12/2010,2010/12/11,Business - Personal,2,50+,,,,QC,Corporate Stores
9818582182592,2010-01,,2010-01-09,,Business - Personal,2,18-30,,,,QC,Corporate Stores
9817621171386,2009-07,2009-07,2009-07-04,2009/07/04,Business - Personal,3,50+,,,,AB,DEALERS
9819126196721,2010-05,2010-05,2010/05/08,08/05/2010,Business - Personal,8,41-50,,,,ON,Dealers
9817611171905,2009-07,2009-07,2009-07-04,2009/07/04,Business - Personal,,18-30,,HCDM,,QC,Corporate Stores
9821268218969,2010-12,2010-12,2010/12/04,2010-12-04,Business - Personal,6,41-50,,,,AB,Dealers
9819115195800,2010-05,2010-05,2010-05-01,2010-05-01,Business - Personal,8,41-50,,,,ON,Dealers
9818838188838,2010-03,,2010-03-06,,Business - Personal,7,18-30,,,,QC,Corporate Stores
9818104184111,2009-10,2009-10,2009-10-03,2009-10-03,Business - Personal,,41-50,,,,ON,Corporate Stores
9821262212466,2010-12,2010-12,2010-12-04,2010-12-04,Business - Personal,1,41-50,,,,QC,Corporate Stores
9818978188969,2010-04,2010-04,2010-04-03,2010-04-03,Business - Personal,7,50+,,,,ON,Corporate Stores
9817311171070,2009-05,2009-05,2009-05-02,2009-05-02,Business - Personal,3,41-50,,,,on,  Corporate Stores 
9819265195272,2010-06,2010-06,2010-06-05,2010-06-05,Business - Personal,8,18-30,,,,QC,Corporate Stores
9818249189253,2009-11,2009-11,2009-11-07,2009-11-07,Business - Personal,5,50+,,,,qc,Corporate Stores
9817628178408,2009-07,,2009-07-11,,Business - Personal,4,18-30,,,,ON,Corporate Stores
9819259199453,2010-06,2010-06,2010/06/05,2010/06/05,Business - Personal,8,18-30,,,,ON,Corporate Stores
9818840180304,2010-03,2010-03,2010-03-06,2010-03-06,Business - Personal,7,31-40,,,,ON,Corporate Stores
9818829189524,2010-03,2010-03,2010-03-06,2010-03-06,Business - Personal,,31-40,,,,ON,Corporate Stores
9816765165941,2009-01,2009-01,2009/01/03,2009/01/03,Business - Personal,,41-50,,,,BC,Dealers
9821140210226,2010-11,2010-11,06/11/2010,2010-11-06,Business - Personal,2,18-30,,,,QC,  Corporate Stores 
9817173173408,2009-04,,2009/04/04,,Business - Personal,3,18-30,,,,ON,  Corporate Stores 
9817610170735,2009-07,2009-07,2009-07-04,2009-07-04,Business - Personal,3,41-50,,,,ON,Dealers
9817176176890,2009-04,2009-04,2009/04/04,2009-04-04,Business - Personal,3,41-50,,,,ON,  Dealers 
9819132192342,2010-05,2010-05,2010-05-08,2010-05-08,Business - Personal,8,50+,,,,ON,CORPORATE STORES
9817309179462,2009-05,2009-05,2009-05-02,2009/05/02,Business - Personal,3,18-30,,,,ON,  Corporate Stores 
9818580180181,2010-01,2010-01,2010-01-09,2010-01-09,Business - Personal,5,41-50,,,,AB,Dealers
9819783193578,2010-09,2010-09,2010-09-11,2010-09-11,Business - Personal,6,50+,,,,ON,Dealers
9819784194305,2010-09,,2010-09-11,,Business - Personal,6,18-30,HCDP,,HCDS,ON,dealers
9817627177743,2009-07,2009-07,2009-07-04,2009-07-04,Business - Personal,4,41-50,,HCDM,,AB,Corporate Stores
9817173173538,2009-04,2009-04,2009-04-04,2009-04-04,Business - Personal,3,18-30,,,,ON,Dealers
9817763173404,2009-08,2009-08,2009/08/08,2009-08-08,Business - Personal,4,18-30,,,,ON,Corporate Stores
9818376186411,2009-12,2009-12,2009-12-05,2009-12-05,Business - Personal,5,41-50,,,,BC,Corporate Stores
9817319179011,2009-05,,2009-05-09,,Business - Personal,3,41-50,,,,QC,Dealers
9817763173938,2009-08,,2009-08-08,,Business - Personal,4,41-50,,,,ON,corporate stores
9818583183477,2010-01,,2010-01-09,,Business - Personal,2,41-50,,,,QC,Corporate Stores
9818097187249,2009-10,2009-10,2009-10-03,2009-10-03,Business - Personal,4,50+,,,,ab,Dealers
9818839189056,2010-03,2010-03,2010/03/06,2010-03-06,Business - Personal,7,41-50,,,,AB,Corporate Stores
9818824184928,2010-03,2010-03,2010-03-06,2010-03-06,Business - Personal,7,41-50,,,,ON,Dealers
9817459179279,2009-06,2009-06,2009-06-06,2009-06-06,Business - Personal,3,18-30,,,,QC,Dealers
9818367187929,2009-12,2009-12,2009-12-05,2009-12-05,Business - Personal,5,41-50,,,,ON,Corporate Stores
9818986186497,2010-04,,10/04/2010,,Business - Personal,8,18-30,,,,ON,Corporate Stores
9818985185166,2010-04,,10/04/2010,,Business - Personal,7,18-30,,,,QC,Corporate Stores
9819420190108,2010-07,2010-07,2010-07-03,2010-07-03,Business - Personal,1,18-30,,,,QC,Corporate Stores
9821284214616,2010-12,2010-12,2010-12-11,2010-12-11,Business - Personal,4,31-40,,,,ON,Corporate Stores
9819426196680,2010-07,2010-07,2010-07-10,2010-07-10,Business - Personal,1,41-50,,,,BC,Dealers
9816904164759,2009-02,,2009-02-07,,Business - Personal,2,41-50,,,,ON,Corporate Stores
9821138218007,2010-11,2010-11,2010-11-06,2010-11-06,Business - Personal,4,50+,,,,ON,Dealers
9819426196247,2010-07,,2010-07-10,,Business - Personal,1,18-30,,,,QC,CORPORATE STORES
9819264194203,2010-06,2010-06,2010-06-05,2010-06-05,Business - Personal,8,41-50,HCDP,,HCDS,ON,Corporate Stores
9819780190630,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,3,18-30,,,,AB,CORPORATE STORES
9819580190327,2010-08,2010-08,2010-08-07,2010-08-07,Business - Personal,2,41-50,,,,BC,corporate stores
9817614174428,2009-07,2009-07,2009-07-04,2009/07/04,Business - Personal,3,18-30,,,,QC,Corporate Stores
9821268218852,2010-12,2010-12,2010-12-04,2010-12-04,Business - Personal,4,41-50,HCDP,,HCDS,ON,Corporate Stores
9821279219734,2010-12,2010-12,2010-12-04,2010/12/04,Business - Personal,2,31-40,,,,QC,Dealers
9819576196311,2010-08,,2010-08-07,,Business - Personal,2,18-30,,,,ON,Corporate Stores
9818097187638,2009-10,2009-10,2009-10-03,2009-10-03,Business - Personal,4,31-40,,,,QC,dealers
9818236186131,2009-11,2009-11,2009-11-07,2009-11-07,Business - Personal,5,50+,,,,BC,Dealers
9817327177396,2009-05,2009-05,2009-05-09,2009-05-09,Business - Personal,3,18-30,,,,BC,Corporate Stores
9819270190038,2010-06,,2010-06-05,,Business - Personal,8,41-50,HCDP,,HCDS,QC,Dealers
9818382182331,2009-12,,2009-12-05,,Business - Personal,2,18-30,,,,  QC ,Corporate Stores
9821139219108,2010-11,2010-11,2010-11-06,2010-11-06,Business - Personal,2,50+,,,,QC,Dealers
9818981181183,2010-04,2010-04,2010-04-03,2010-04-03,Business - Personal,7,50+,,,,AB,Dealers
9817459179264,2009-06,,2009-06-06,,Business - Personal,3,18-30,,,,ON,Corporate Stores
9817766176284,2009-08,,2009/08/08,,Business - Personal,4,18-30,HCDP,,HCDS,ON,Dealers
9819119199013,2010-05,2010-05,2010-05-08,2010-05-08,Business - Personal,8,50+,,,,ON,Dealers
9819113193417,2010-05,2010-05,2010-05-01,01/05/2010,Business - Personal,8,18-30,,,,QC,Corporate Stores
9816770160569,2009-01,2009-01,2009-01-03,2009-01-03,Business - Personal,,18-30,,,,  ON ,Corporate Stores
9819776196278,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,2,50+,,,,QC,Corporate Stores
9821270210880,2010-12,,2010-12-04,,Business - Personal,4,18-30,,,,ON,Corporate Stores
9817171171756,2009-04,2009-04,04/04/2009,2009-04-04,Business - Personal,3,41-50,,,,QC,Corporate Stores
9819134194778,2010-05,,2010-05-08,,Business - Personal,8,31-40,,,,BC,Dealers
