BAN,FIRST_CREDIT_DATE,FIRST_CREDIT_CLASS,SCORE_CARD,CREDIT_SCORE
9818569189754,2010-01-02,B,eqfx,992
9817318178015,2009-05-03,K,EQFX,241
9817620170373,03/07/2009,B,EQFX,985
9818250180125,2009/11/05,B,EQFX,971
9818094184206,01/10/2009,X,  EQFX ,880
9819415195497,2010-07-02,B,EQFX,975
9817763173870,2009-08-02,B,EQFX,984
9819584194614,2010-08-04,K,EQFX,79
9818384184928,2009-12-05,X,  EQFX ,880
9819265195329,2010-06-03,L,eqfx,854
9819275195544,2010-06-04,B,EQFX,992
9819117197801,2010-05-02,K,EQFX,437
9819779199397,2010-09-04,X,EQFX,226
9819414194086,2010-07-02,B,EQFX,993
9819943193197,2010-10-05,B,EQFX,955
9819755195268,2010-09-01,X,ECBS,8
9818238188628,2009-11-02,B,eqfx,997
9821283213567,2010-12-05,B,EQFX,990
9817308178507,2009-05-01,K,EQFX,
9819590190513,2010-08-05,K,eqfx,240
9819257197574,2010-06-01,B,EQFX,983
9818837187995,04/03/2010,L,ECBS,854
9817158178350,2009-04-01,K,EQFX,331
9819589199080,2010/08/05,b,EQFX,952
9818823183980,2010-03-01,X,EQFX,512
9819783193379,05/09/2010,L,EQFX,716
9817619179145,2009-07-03,K,EQFX,51
9819132192581,2010-05-05,  X ,EQFX,854
9817309179285,2009-05-01,B,EQFX,989
9817608178643,2009/07/01,B,EQFX,983
9817764174776,2009-08-03,B,  EQFX ,963
9818105185529,2009-10-03,B,EQFX,950
9817619179334,03/07/2009,L,ECBS,777
9818242182223,2009-11-03,X,EQFX,346
9817936176284,2009-09-02,b,EQFX,995
9818981181252,2010-04-03,b,EQFX,976
9818705185271,01/02/2010,X,EQFX,673
9818714184830,2010/02/03,K,  EQFX ,114
9817762172652,2009-08-02,B,eqfx,965
9817629179080,2009-07-05,B,EQFX,990
9818359189582,2009-12-01,B,EQFX,941
9819414194083,2010/07/02,B,EQFX,955
9817313173507,2009/05/02,k,EQFX,
9819582192524,2010-08-04,B,  EQFX ,972
9816765165941,2009-01-02,B,EQFX,
9821122212596,2010-11-01,X,ECBS,420
9819281191005,2010-06-05,B,EQFX,983
9817618178819,2009-07-03,B,EQFX,991
9818972182794,2010-04-01,L,ECBS,14
9818375185736,2009-12-04,b,EQFX,991
9816782162313,2009-01-05,b,EQFX,986
9818568188341,02/01/2010,B,EQFX,982
9817759179704,2009-08-01,X,EQFX,
9817610170069,02/07/2009,X,EQFX,
9821281211294,2010-12-04,X,ECBS,822
9819128198877,2010-05-04,L,EQFX,699
9816773163637,2009-01-03,X,EQFX,
9817471171180,2009-06-03,X,EQFX,789
9821140210679,2010-11-05,x,EQFX,239
9819773193562,2010-09-03,X,ECBS,466
9821282212586,2010-12-05,B,EQFX,995
9817764174694,03/08/2009,B,eqfx,987
9818573183950,03/01/2010,L,EQFX,854
9817157177616,2009-04-01,B,EQFX,983
9819575195369,2010-08-02,L,EQFX,904
9818972182665,01/04/2010,B,EQFX,986
9817469179117,03/06/2009,X,EQFX,557
9817611171772,2009-07-02,B,EQFX,968
9817471171113,2009-06-03,b,EQFX,997
9821121211541,2010-11-01,B,EQFX,959
9818978188794,03/04/2010,b,EQFX,995
9821123213085,2010-11-01,B,EQFX,980
9817622172800,2009-07-03,B,EQFX,983
9817772172148,2009-08-04,B,EQFX,994
9818240180884,2009-11-03,B,EQFX,979
9817173173338,2009-04-03,B,EQFX,919
9819778198574,2010-09-04,B,EQFX,962
9817943173779,2009-09-04,X,EQFX,378
9819783193750,2010-09-05,B,  EQFX ,955
9819415195746,2010/07/02,B,eqfx,961
9818706186941,01/02/2010,K,EQFX,52
9819785195268,2010-09-05,L,EQFX,640
9818835185501,2010-03-03,B,EQFX,991
9818575185577,03/01/2010,B,EQFX,995
9817768178899,2009-08-04,B,EQFX,985
9818842182894,2010-03-05,X,EQFX,669
9821270210912,2010-12-03,B,EQFX,963
9817624174076,2009-07-04,B,EQFX,985
9818371181831,2009-12-03,B,EQFX,992
9821125215649,2010-11-02,X,EQFX,790
9818980180040,2010-04-03,X,EQFX,629
9818239189870,2009-11-03,K,EQFX,252
9817158178259,2009/04/01,L,ECBS,557
9817310170975,2009-05-01,X,EQFX,801
9821280210546,2010-12-04,X,ECBS,8
9818721181154,2010-02-04,L,ecbs,9
9818838188453,2010-03-04,X,ECBS,822
9819422192367,03/07/2010,B,EQFX,895
9819775195316,2010-09-04,B,EQFX,935
9819761191267,2010-09-02,B,EQFX,883
9817311171221,01/05/2009,B,  EQFX ,994
9818718188224,2010-02-04,B,EQFX,989
9819255195344,01/06/2010,B,EQFX,
9818713183700,03/02/2010,B,EQFX,958
9819426196440,2010-07-04,B,EQFX,959
9819424194763,2010-07-04,X,eqfx,503
9818372182505,03/12/2009,K,EQFX,165
9818108188140,2009/10/03,K,eqfx,80
9817774174978,05/08/2009,K,EQFX,
9819772192019,03/09/2010,L,EQFX,391
9818723183650,2010-02-05,L,ECBS,845
9821263213090,2010-12-01,B,EQFX,994
9819117197495,2010-05-02,B,EQFX,969
9816773163042,2009-01-03,K,EQFX,
9819279199396,2010-06-05,B,EQFX,982
9816770160197,2009-01-03,X,ECBS,904
9819759199888,2010-09-02,K,  EQFX ,403
9818969189956,2010-04-01,B,  EQFX ,981
9817765175551,03/08/2009,X,ECBS,822
9818709189524,2010-02-02,X,EQFX,539
9819128198430,2010-05-04,  B ,EQFX,994
9818248188932,2009-11-05,K,EQFX,233
9817615175894,2009-07-02,X,EQFX,935
9818248188815,2009-11-05,B,EQFX,
9819585195698,04/08/2010,  L ,EQFX,720
9816914164841,04/02/2009,B,  EQFX ,997
9819756196478,2010-09-01,K,EQFX,332
9819931191797,01/10/2010,K,EQFX,167
9817179179107,04/04/2009,L,eqfx,572
9818824184218,2010-03-01,b,EQFX,996
9817764174960,2009-08-03,B,EQFX,987
9817468178479,2009-06-03,B,EQFX,983
9817925175281,2009-09-01,B,EQFX,959
9821258218910,2010/12/01,X,ECBS,786
9817764174799,2009-08-03,B,EQFX,972
9819280190823,05/06/2010,B,EQFX,994
9819937197411,02/10/2010,B,EQFX,992
9819258198972,01/06/2010,K,EQFX,385
9818232182752,01/11/2009,B,EQFX,980
9821122212280,2010-11-01,  X ,ECBS,845
9817776176370,2009-08-05,L,ECBS,842
9818566186963,2010-01-01,B,EQFX,967
9817319179978,2009-05-03,B,EQFX,969
9819254194476,2010-06-01,B,eqfx,985
9818979189596,2010-04-03,B,EQFX,994
9818977187401,2010-04-02,  B ,EQFX,988
9818983183864,05/04/2010,X,ECBS,557
9818371181171,2009-12-03,X,EQFX,682
9819570190416,2010-08-01,B,EQFX,985
9817162172130,2009/04/01,x,ECBS,934
9818978188637,2010-04-03,B,EQFX,959
9819580190138,2010-08-03,B,eqfx,991
9819778198810,2010-09-04,B,EQFX,993
9817931171591,2009-09-01,B,EQFX,993
9817614174411,2009-07-02,L,ECBS,512
9818578188306,2010-01-04,B,EQFX,965
9819952192448,2010/10/05,  K ,eqfx,136
9819275195794,2010-06-04,B,EQFX,907
9818099189962,02/10/2009,X,EQFX,880
9818378188481,2009-12-04,B,EQFX,990
9817175175893,2009-04-04,B,EQFX,968
9818364184059,2009-12-01,L,ECBS,880
9817933173406,2009/09/02,K,EQFX,238
9819112192545,2010-05-01,B,EQFX,983
9821260210971,2010-12-01,B,EQFX,930
9821128218813,2010-11-02,B,EQFX,989
9819777197331,2010-09-04,X,EQFX,776
9818112182459,2009-10-04,  X ,EQFX,822
9816765165859,2009-01-02,L,  EQFX ,
9819761191091,02/09/2010,K,EQFX,438
9817325175310,2009-05-04,L,eqfx,682
9821277217240,2010-12-04,X,ecbs,557
9818092182680,2009/10/01,B,EQFX,965
9819767197547,03/09/2010,B,EQFX,981
9817014174139,2009-03-01,L,ecbs,822
9819571191854,01/08/2010,L,ECBS,854
9817014174247,2009-03-01,b,EQFX,952
9818832182697,2010-03-03,b,EQFX,951
9818235185107,02/11/2009,X,ECBS,854
9817316176577,02/05/2009,B,EQFX,980
9818366186035,2009-12-02,B,EQFX,971
9819411191035,2010-07-01,X,EQFX,739
9819272192704,2010-06-04,X,EQFX,868
9821268218315,2010-12-02,B,EQFX,954
9819784194699,05/09/2010,B,EQFX,994
9818112182780,2009-10-04,B,EQFX,991
9819956196123,2010-10-05,L,EQFX,709
9818106186845,2009-10-03,L,EQFX,665
9819115195288,2010-05-01,L,ECBS,14
9817929179668,2009-09-01,L,ECBS,940
9819936196312,2010/10/01,B,EQFX,971
9817325175124,2009-05-04,B,EQFX,972
9819421191985,03/07/2010,B,EQFX,962
9816772162218,03/01/2009,B,EQFX,
9816918168977,2009-02-05,B,EQFX,
9821141211012,2010-11-05,L,ECBS,845
9816767167485,2009-01-02,B,EQFX,968
9818825185047,2010-03-01,X,EQFX,
9818364184868,2009-12-02,X,ECBS,334
9818249189630,2009-11-05,L,ECBS,607
9821280210388,2010/12/04,X,EQFX,842
9818575185638,2010-01-03,B,EQFX,982
9817465175713,2009-06-02,B,EQFX,984
9819937197037,2010-10-02,B,EQFX,893
9818718188152,2010-02-04,B,  EQFX ,989
9819937197590,2010-10-02,L,EQFX,596
9818976186562,2010-04-02,  X ,EQFX,557
9818110180414,2009-10-04,B,EQFX,994
9819775195182,2010-09-04,B,EQFX,976
9818575185659,2010-01-03,B,EQFX,995
9821283213978,2010-12-05,B,EQFX,929
9818978188228,2010-04-03,  B ,EQFX,987
9816919169133,05/02/2009,L,EQFX,576
9818974184187,2010-04-01,X,EQFX,542
9819592192517,05/08/2010,X,EQFX,530
9818375185154,2009-12-04,B,EQFX,988
9819576196944,2010-08-03,B,EQFX,945
9817610170516,2009-07-02,B,EQFX,990
9817473173789,2009-06-04,B,EQFX,920
9817323173966,2009-05-04,X,ECBS,796
9817938178013,02/09/2009,  B ,EQFX,982
9821279219103,2010-12-04,x,eqfx,880
9819782192347,2010/09/05,  L ,EQFX,707
9819113193942,2010-05-01,K,EQFX,397
9821268218922,02/12/2010,  K ,eqfx,253
9819756196842,2010-09-01,B,EQFX,977
9819772192545,2010-09-03,B,EQFX,986
9819134194529,05/05/2010,B,EQFX,990
9817162172515,2009/04/02,X,EQFX,602
9819775195697,2010/09/04,X,EQFX,494
9818581181283,04/01/2010,B,EQFX,958
9818380180809,2009-12-05,B,EQFX,965
9821284214588,2010-12-05,B,EQFX,981
9819779199154,2010-09-04,X,EQFX,913
9817168178481,03/04/2009,K,  EQFX ,145
9818843183616,2010-03-05,B,EQFX,995
9818839189905,04/03/2010,b,eqfx,977
9818822182290,2010-03-01,  B ,EQFX,987
9818374184079,03/12/2009,L,ECBS,557
9817308178934,2009-05-01,B,EQFX,953
9817457177532,2009-06-01,X,ECBS,602
9817762172782,2009-08-02,B,EQFX,978
9818824184770,2010-03-01,X,EQFX,886
9817015175155,2009-03-01,B,EQFX,975
9819411191285,2010-07-01,B,EQFX,952
9819784194368,05/09/2010,B,EQFX,955
9817628178178,2009/07/05,b,EQFX,992
9818719189310,2010-02-04,X,ECBS,786
9818110180572,2009-10-04,B,EQFX,
9818365185552,2009-12-02,B,EQFX,972
9819114194071,2010-05-01,X,ecbs,8
9816900160178,2009-02-01,B,EQFX,
9817777177793,2009-08-05,  B ,  EQFX ,994
9818112182283,2009-10-04,b,EQFX,993
9817764174196,2009-08-02,X,ECBS,661
9819935195971,2010-10-01,X,EQFX,764
9817306176642,2009/05/01,L,EQFX,413
9819121191700,2010-05-03,B,EQFX,891
9821271211839,2010-12-03,X,ECBS,376
9818711181807,2010-02-02,X,ECBS,875
9817164174717,2009-04-02,K,EQFX,385
9818103183545,2009-10-02,L,ECBS,557
9819761191443,2010/09/02,X,EQFX,913
9818710180685,2010-02-02,X,EQFX,880
9816763163391,2009-01-02,B,EQFX,
9817463173747,2009-06-02,B,EQFX,981
9818987187257,2010/04/05,L,EQFX,677
9819257197567,01/06/2010,B,EQFX,992
9818832182355,2010-03-03,b,EQFX,
9818106186384,2009-10-03,B,EQFX,970
9818980180529,03/04/2010,  K ,EQFX,222
9817474174323,2009-06-04,x,EQFX,972
9816776166217,2009-01-04,X,ECBS,183
9817327177568,2009/05/05,  L ,ECBS,842
9819128198892,04/05/2010,b,EQFX,992
9818983183371,04/04/2010,l,EQFX,545
9816901161745,2009-02-01,  K ,eqfx,527
9819118198879,2010-05-02,B,EQFX,987
9817764174214,2009-08-02,B,eqfx,995
9818107187106,2009-10-03,B,EQFX,984
9818971181737,2010-04-01,B,  EQFX ,955
9817318178859,2009-05-03,B,EQFX,995
9818968188667,2010-04-01,L,ECBS,16
9818841181609,2010-03-05,K,EQFX,135
9818978188688,2010-04-03,B,EQFX,990
9821285215307,2010-12-05,B,eqfx,991
9821140210422,2010-11-05,B,eqfx,971
9817027177605,2009-03-04,K,EQFX,
9819429199592,2010-07-05,L,ECBS,854
9818370180805,03/12/2009,X,ECBS,822
9818828188992,02/03/2010,L,ECBS,875
9819279199917,2010-06-05,B,EQFX,991
9817171171243,2009-04-03,B,EQFX,995
9818583183147,2010-01-05,L,ECBS,880
9818843183380,05/03/2010,  X ,ECBS,8
9819769199488,2010-09-03,B,EQFX,996
9817172172986,2009-04-03,X,EQFX,494
9817456176027,2009-06-01,X,EQFX,880
9818822182049,2010-03-01,L,ECBS,466
9817936176361,2009-09-02,B,EQFX,985
9816768168691,2009-01-02,B,EQFX,
9818705185584,2010-02-01,L,  EQFX ,660
9819128198755,2010-05-04,L,EQFX,717
9817168178519,2009-04-03,B,EQFX,
9819280190244,2010-06-05,X,  EQFX ,673
9817763173047,2009-08-02,X,EQFX,640
9818104184448,2009-10-02,B,EQFX,965
9817936176265,2009-09-02,B,EQFX,978
9818106186521,03/10/2009,X,ECBS,880
9819112192239,2010-05-01,B,EQFX,994
9818713183865,2010-02-03,K,eqfx,94
9817925175782,2009-09-01,X,ECBS,602
9818110180215,2009-10-04,X,EQFX,639
9819749199641,01/09/2010,B,EQFX,962
9819954194426,2010-10-05,  L ,ECBS,12
9818101181351,02/10/2009,B,EQFX,973
9817625175839,2009-07-04,B,EQFX,995
9819278198433,2010-06-05,B,EQFX,987
9818237187399,2009-11-02,K,eqfx,376
9819591191964,2010-08-05,B,EQFX,980
9818843183565,05/03/2010,K,EQFX,206
9817018178175,2009-03-02,B,EQFX,985
9819941191887,2010-10-02,b,EQFX,997
9821120210767,2010-11-01,X,ECBS,822
9818097187213,01/10/2009,X,EQFX,348
9821262212614,2010/12/01,L,EQFX,935
9818719189502,2010-02-04,B,EQFX,984
9819955195199,05/10/2010,X,eqfx,605
9818235185111,2009-11-02,  B ,EQFX,979
9817934174744,2009-09-02,B,EQFX,990
9817160170585,2009-04-01,L,eqfx,657
9816767167626,2009-01-02,B,EQFX,
9819751191667,2010-09-01,X,ECBS,813
9819125195109,2010/05/03,B,EQFX,945
9821132212227,2010-11-03,B,EQFX,986
9821133213314,2010-11-03,X,EQFX,848
9816775165287,2009-01-04,  B ,eqfx,
9818238188226,2009-11-02,B,eqfx,961
9819272192327,04/06/2010,K,eqfx,24
9817170170622,03/04/2009,L,ECBS,691
9818724184035,2010-02-05,x,EQFX,
9821265215261,2010-12-02,X,EQFX,557
9821280210250,04/12/2010,X,EQFX,764
9817609179133,01/07/2009,B,EQFX,991
9817764174248,2009-08-02,B,EQFX,993
9818824184128,2010-03-01,B,EQFX,967
9818371181697,2009/12/03,K,EQFX,155
9819785195201,2010/09/05,L,eqfx,904
9818722182005,2010/02/05,L,ECBS,14
9819940190057,2010-10-02,B,eqfx,962
9817159179320,2009-04-01,B,eqfx,959
9818241181385,2009-11-03,X,EQFX,692
9819264194324,2010/06/02,X,EQFX,854
9817614174008,2009/07/02,B,EQFX,937
9821276216617,2010-12-04,B,EQFX,991
9819266196616,03/06/2010,L,ECBS,512
9819572192617,02/08/2010,B,EQFX,904
9817315175717,2009-05-02,B,eqfx,955
9818837187813,2010-03-04,B,EQFX,934
9818975185623,2010-04-02,B,EQFX,984
9818107187187,2009-10-03,B,EQFX,
9819270190098,2010-06-03,B,EQFX,984
9816767167561,02/01/2009,b,EQFX,
9819413193318,02/07/2010,B,eqfx,945
9817169179358,2009-04-03,X,EQFX,665
9819279199978,05/06/2010,X,ECBS,854
9817166176402,02/04/2009,B,EQFX,
9819953193830,2010-10-05,L,EQFX,800
9819414194331,2010-07-02,B,EQFX,989
9821280210984,2010-12-04,b,EQFX,970
9816763163487,2009-01-02,B,EQFX,
9817480170335,2009-06-05,B,EQFX,958
9819421191460,2010-07-03,B,eqfx,975
9818985185131,2010-04-05,B,eqfx,918
9817935175547,2009-09-02,X,EQFX,687
9819269199868,2010-06-03,X,eqfx,420
9821280210765,04/12/2010,B,EQFX,989
9819767197157,2010/09/03,  X ,EQFX,557
9816778168769,2009-01-05,B,EQFX,
9819929199589,2010-10-01,  K ,EQFX,76
9818984184071,05/04/2010,L,ECBS,9
9817014174499,01/03/2009,B,EQFX,
9816781161819,05/01/2009,B,EQFX,995
9818094184240,2009-10-01,K,EQFX,390
9818095185218,2009-10-01,X,EQFX,691
9819766196778,2010-09-03,b,  EQFX ,980
9817928178099,2009-09-01,B,EQFX,959
9818359189564,2009/12/01,X,EQFX,751
9818107187798,2009-10-03,b,EQFX,955
9817313173744,02/05/2009,B,EQFX,995
9821282212166,2010-12-05,B,EQFX,975
9817319179269,2009-05-03,B,EQFX,989
9818845185294,2010-03-05,L,EQFX,913
9818244184701,04/11/2009,X,ECBS,842
9816770160375,03/01/2009,X,ECBS,822
9818361181548,2009-12-01,B,EQFX,957
9818977187407,2010-04-02,L,EQFX,562
9817014174704,2009-03-01,L,ECBS,786
9817926176351,2009-09-01,K,EQFX,223
9821284214788,2010-12-05,B,EQFX,996
9821259219721,2010-12-01,X,EQFX,602
9818969189952,2010-04-01,L,ECBS,466
9817610170381,2009-07-02,B,EQFX,995
9817314174555,2009-05-02,X,eqfx,
9818114184712,05/10/2009,L,ECBS,557
9819771191676,2010/09/03,B,EQFX,
9817165175701,2009/04/02,L,EQFX,602
9818831181648,2010-03-03,X,EQFX,456
9818719189865,2010-02-04,B,EQFX,970
9817620170027,2009-07-03,X,EQFX,
9819784194892,2010-09-05,B,EQFX,990
9819951191722,2010-10-05,X,EQFX,822
9819273193701,2010-06-04,X,ECBS,822
9818579189269,04/01/2010,K,eqfx,379
9819415195968,2010-07-02,b,EQFX,992
9819940190169,2010-10-02,K,EQFX,240
9821283213147,2010-12-05,X,  ECBS ,8
9817615175351,2009-07-02,B,EQFX,977
9818379189534,2009-12-04,X,EQFX,834
9818373183908,2009-12-03,B,EQFX,987
9818233183021,01/11/2009,K,EQFX,402
9819119199495,2010-05-02,L,EQFX,597
9818116186327,2009-10-05,K,EQFX,299
9816918168927,2009-02-05,B,EQFX,995
9818242182657,2009-11-03,L,EQFX,444
9818721181997,05/02/2010,B,eqfx,990
9817764174740,03/08/2009,K,eqfx,71
9819775195898,2010-09-04,B,  EQFX ,970
9819782192164,2010-09-05,B,EQFX,967
9819933193402,2010-10-01,B,  EQFX ,922
9819134194102,05/05/2010,B,EQFX,975
9817029179561,2009-03-05,X,EQFX,880
9819770190818,03/09/2010,x,eqfx,848
9816906166401,2009-02-02,x,EQFX,880
9819278198389,2010-06-05,b,EQFX,992
9819419199263,2010-07-02,X,EQFX,181
9818248188825,2009-11-05,B,EQFX,983
9818374184584,2009-12-03,L,ECBS,934
9817330170031,2009-05-05,  K ,EQFX,223
9819929199681,2010-10-01,K,EQFX,86
9816916166540,2009-02-05,X,EQFX,
9819420190391,2010-07-03,B,EQFX,968
9817773173324,2009-08-05,K,EQFX,181
9818108188298,2009-10-03,B,EQFX,990
9819128198128,2010-05-04,X,EQFX,420
9818585185290,2010/01/05,K,EQFX,210
9819419199708,2010-07-02,L,EQFX,633
9818832182328,2010-03-03,B,EQFX,981
9817466176912,2009-06-03,B,EQFX,983
9821132212442,2010-11-03,X,EQFX,854
9819117197218,2010-05-02,B,EQFX,928
9821259219707,2010-12-01,x,EQFX,767
9819115195031,2010-05-01,B,EQFX,978
9817465175036,2009-06-02,  K ,EQFX,313
9821132212109,2010-11-03,K,EQFX,231
9819569199699,01/08/2010,X,EQFX,880
9819426196499,04/07/2010,X,eqfx,880
9819580190566,2010-08-03,L,EQFX,
9821131211516,2010-11-03,  B ,EQFX,886
9821284214175,2010-12-05,X,  EQFX ,542
9818097187607,01/10/2009,L,EQFX,800
9818110180659,2009-10-04,b,EQFX,979
9821122212012,2010-11-01,X,EQFX,178
9818234184929,2009-11-02,  B ,EQFX,987
9817321171305,2009-05-04,B,  EQFX ,993
9819425195197,2010-07-04,  L ,EQFX,786
9819115195443,2010-05-01,X,EQFX,530
9817935175601,2009-09-02,L,EQFX,450
9819755195721,2010-09-01,B,EQFX,975
9817171171195,2009-04-03,L,EQFX,904
9819947197135,04/10/2010,B,EQFX,934
9817177177398,2009-04-04,X,eqfx,
9819774194123,2010-09-03,B,eqfx,964
9818234184355,01/11/2009,B,EQFX,989
9818836186086,2010-03-04,B,EQFX,955
9817609179495,01/07/2009,B,EQFX,965
9819583193182,2010-08-04,B,EQFX,993
9818709189818,2010-02-02,B,EQFX,996
9818574184847,2010-01-03,B,eqfx,993
9819578198334,2010-08-03,L,EQFX,405
9817769179860,2009-08-04,B,EQFX,993
9817611171053,2009-07-02,B,EQFX,955
9818383183554,2009-12-05,x,EQFX,854
9821278218344,2010/12/04,B,EQFX,995
9818108188532,2009-10-03,x,ECBS,602
9817327177279,2009-05-05,K,  EQFX ,
9819121191731,2010-05-03,K,EQFX,60
9818107187681,2009-10-03,B,EQFX,984
9818576186777,2010-01-04,X,ECBS,557
9821278218416,04/12/2010,B,EQFX,993
9818714184940,2010-02-03,K,EQFX,205
9819938198849,2010-10-02,B,EQFX,932
9817625175062,2009-07-04,B,EQFX,993
9819256196316,01/06/2010,L,EQFX,842
9819946196697,2010/10/04,B,EQFX,979
9819112192000,2010-05-01,X,EQFX,332
9819590190436,05/08/2010,B,EQFX,995
9819940190560,2010-10-02,B,EQFX,987
9821121211238,2010-11-01,b,EQFX,995
9817773173915,2009-08-05,B,EQFX,994
9819933193830,2010-10-01,X,EQFX,842
9817314174550,2009/05/02,L,EQFX,
9818713183649,03/02/2010,X,EQFX,629
9818840180261,2010/03/04,B,EQFX,953
9819780190393,2010-09-04,B,EQFX,978
9817469179307,2009/06/03,X,ECBS,880
9817466176837,2009-06-03,X,EQFX,
9819274194988,04/06/2010,K,EQFX,292
9816766166166,02/01/2009,X,EQFX,
9818249189132,2009/11/05,B,EQFX,993
9817318178610,2009-05-03,B,EQFX,989
9819126196655,2010-05-04,K,EQFX,131
9819279199595,2010-06-05,  B ,EQFX,984
9817927177900,2009-09-01,L,EQFX,492
9818574184299,03/01/2010,B,eqfx,995
9819277197721,2010-06-05,X,eqfx,552
9821280210377,2010-12-04,B,EQFX,
9816776166635,2009-01-04,X,EQFX,
9819582192416,2010-08-04,X,EQFX,854
9819430190403,2010/07/05,B,EQFX,982
9818826186175,2010-03-01,b,EQFX,996
9818834184835,2010-03-03,B,EQFX,997
9818111181170,2009/10/04,X,EQFX,332
9819112192197,2010-05-01,  B ,EQFX,985
9818825185806,2010-03-01,X,ECBS,800
9817763173938,2009-08-02,  X ,EQFX,725
9817021171512,2009-03-03,x,EQFX,
9817179179064,2009/04/04,  X ,  EQFX ,455
9817321171533,2009-05-04,B,  EQFX ,955
9817319179236,2009-05-03,X,EQFX,914
9818724184667,2010-02-05,L,ECBS,16
9819780190264,2010-09-04,B,EQFX,974
