post_id,user_id,datetime,text
403051,6898742,12/7/2019 10:07,"Maecenas a velit gravida, accumsan dolor sed, vehicula dolor."
403052,88594698,12/7/2019 10:09,Donec volutpat mi non lorem pellentesque condimentum.
403053,50674807,12/7/2019 10:10,"Praesent varius lectus sit amet arcu facilisis, in mattis lorem lobortis."
403054,75564462,12/7/2019 10:13,Vivamus non enim ac erat lacinia efficitur ut fermentum ante.
403055,31632805,12/7/2019 10:16,Integer fringilla lectus sit amet tortor imperdiet eleifend.
403056,34052592,12/7/2019 10:17,Integer efficitur ligula ac bibendum suscipit.
403057,6898742,12/7/2019 10:21,"Nunc mollis libero vel tortor gravida, vel hendrerit arcu finibus."
403058,54120190,12/7/2019 10:24,"Nunc sed est fringilla, efficitur eros molestie, dictum ipsum."
403059,34052592,12/7/2019 10:28,"Vestibulum convallis justo eu sem facilisis, quis laoreet orci sollicitudin."
403060,22830391,12/7/2019 10:30,Donec scelerisque felis egestas laoreet molestie.
403061,2398742,12/7/2019 10:32,Donec scelerisque tellus ut ligula convallis luctus.
403062,96379267,12/7/2019 10:35,"Vivamus eu libero pulvinar, commodo lectus a, egestas ligula."
403063,80605391,12/7/2019 10:36,Maecenas malesuada sem nec molestie tempor.
403064,6898742,12/7/2019 10:39,Duis tristique tortor at arcu varius fermentum.
403065,2398742,12/7/2019 10:43,Nullam molestie justo eu malesuada vestibulum.
403066,75564462,12/7/2019 10:43,Praesent sagittis erat ut tempor ullamcorper.
403067,52096481,12/7/2019 10:45,"Suspendisse at dolor blandit, aliquet enim at, placerat nisl."
403068,6988481,12/7/2019 10:46,Sed efficitur augue ac accumsan gravida.
403069,42852269,12/7/2019 10:47,"Mauris venenatis magna at massa efficitur, ut semper neque commodo."
403070,94761749,12/7/2019 10:48,"Mauris lacinia dui non ex tempus, et porta ex pretium."
403071,10993170,12/7/2019 10:50,Nam imperdiet orci ut mattis porta.
403072,99468227,12/7/2019 10:54,Cras finibus dolor at tellus vehicula fermentum.
403073,12475863,12/7/2019 10:56,Etiam quis ligula sed massa imperdiet suscipit.
403074,96864510,12/7/2019 10:59,Duis quis dolor eget ante bibendum congue quis id neque.
403075,11482505,12/7/2019 11:01,Suspendisse non orci ac neque pretium maximus in sed est.
403076,82836366,12/7/2019 11:02,"Cras laoreet nunc eget massa finibus, dictum tincidunt velit hendrerit."
403077,85029242,12/7/2019 11:05,"Quisque non urna molestie, viverra tortor a, congue leo."
403078,88594698,12/7/2019 11:09,"Nam a erat vehicula, condimentum ex et, eleifend urna."
403079,5068480,12/7/2019 11:13,"Etiam vel diam suscipit, rhoncus sapien at, vestibulum quam."
403080,47722299,12/7/2019 11:17,Pellentesque vel elit eleifend felis mollis maximus non eget nulla.
403081,82836366,12/7/2019 11:20,Maecenas quis nisi sed odio pulvinar maximus.
403082,86960861,12/7/2019 11:23,Praesent fringilla velit eu magna eleifend blandit.
403083,75564462,12/7/2019 11:26,Ut molestie urna eu facilisis ultrices.
403084,52737281,12/7/2019 11:27,Suspendisse vitae massa a elit pulvinar aliquam.
403085,47722299,12/7/2019 11:30,Proin sit amet diam in lacus consectetur tincidunt.
403086,2398742,12/7/2019 11:33,Integer at sem ac metus pulvinar fermentum sed in leo.
403087,99468227,12/7/2019 11:37,"Donec maximus lorem ac metus dictum, at egestas sem commodo."
403088,12115762,12/7/2019 11:38,Etiam ut diam sed risus varius sagittis.
403089,2398742,12/7/2019 11:42,Donec dignissim turpis ut dignissim venenatis.
403090,75564462,12/7/2019 11:43,Aenean scelerisque erat quis nulla feugiat sagittis.
403091,52096481,12/7/2019 11:46,Etiam dictum sapien lacinia posuere imperdiet.
403092,34052592,12/7/2019 11:47,Mauris quis dui quis ligula egestas tempus.
403093,41315375,12/7/2019 11:47,Etiam sit amet elit a libero sodales feugiat.
403094,18918843,12/7/2019 11:51,"Nulla faucibus ipsum non diam scelerisque, id imperdiet lectus viverra."
403095,6988481,12/7/2019 11:55,"Vivamus mollis sapien et ante sagittis, sit amet finibus odio suscipit."
403096,94832806,12/7/2019 11:59,Vivamus ornare justo sed aliquet interdum.
403097,50674807,12/7/2019 12:03,Ut sollicitudin risus a dui hendrerit hendrerit non eleifend erat.
403098,60434693,12/7/2019 12:06,Nulla auctor neque sit amet consectetur feugiat.
403099,12115762,12/7/2019 12:08,"Maecenas rhoncus orci eu tortor tempor, ut interdum orci dignissim."
403100,96864510,12/7/2019 12:11,Vivamus aliquet diam ut odio tincidunt sollicitudin.
403101,99468227,12/7/2019 12:13,Nunc iaculis justo ut urna malesuada commodo.
403102,82836366,12/7/2019 12:16,Maecenas vel sapien nec ex pulvinar luctus.
403103,79583157,12/7/2019 12:18,Donec fermentum sapien id metus feugiat mollis.
403104,94832806,12/7/2019 12:20,Nulla ut justo vitae erat imperdiet dapibus sit amet ultrices nisl.
403105,99468227,12/7/2019 12:23,Fusce blandit justo faucibus lobortis eleifend.
403106,82836366,12/7/2019 12:25,"Aliquam porttitor ex ac nisl pellentesque, vitae posuere nibh pulvinar."
403107,11482505,12/7/2019 12:28,Aenean a sapien eget dolor maximus feugiat nec sit amet metus.
403108,86960861,12/7/2019 12:28,"Sed non augue maximus, ultricies odio vel, suscipit orci."
403109,96864510,12/7/2019 12:30,"Quisque maximus ex ut ipsum aliquet, id gravida turpis interdum."
403110,42856766,12/7/2019 12:32,Fusce placerat arcu tincidunt justo consectetur gravida.
403111,6988481,12/7/2019 12:35,Donec malesuada neque a sagittis ultricies.
403112,9567273,12/7/2019 12:38,Nunc posuere mi in rhoncus aliquet.
403113,80605391,12/7/2019 12:42,In sed sapien sit amet mi porta scelerisque non id nunc.
403114,34305933,12/7/2019 12:43,"Fusce sed eros gravida, bibendum leo sit amet, malesuada urna."
403115,2398742,12/7/2019 12:44,Vestibulum sed sapien et risus facilisis maximus.
403116,96037833,12/7/2019 12:46,"Etiam vel dolor gravida, bibendum erat nec, placerat quam."
403117,2398742,12/7/2019 12:49,"Praesent id nisl sagittis, pellentesque magna et, dapibus nisi."
403118,6988481,12/7/2019 12:51,Phasellus commodo sem id ultrices cursus.
403119,99468227,12/7/2019 12:51,Quisque nec nisi pretium sem varius euismod eu in felis.
403120,40140169,12/7/2019 12:53,"Etiam ut nunc vestibulum, aliquet felis eu, scelerisque ligula."
403121,31984188,12/7/2019 12:56,"Sed eget sem vulputate, luctus nibh vel, porttitor massa."
403122,52737281,12/7/2019 12:56,Vivamus ut nunc eget mi rhoncus posuere eu eu justo.
403123,52737281,12/7/2019 12:57,Maecenas nec orci ut felis porttitor rutrum ut quis velit.
403124,31632805,12/7/2019 12:58,Donec dapibus purus in urna dictum semper.
403125,40140169,12/7/2019 13:02,"Cras nec turpis fringilla, rhoncus mi eget, malesuada augue."
403126,42852269,12/7/2019 13:04,Proin tristique est sed nunc bibendum ultricies.
403127,60434693,12/7/2019 13:05,Sed pellentesque turpis a sodales convallis.
403128,99468227,12/7/2019 13:09,Pellentesque nec urna vel neque maximus commodo nec nec sapien.
403129,96379267,12/7/2019 13:10,"Nullam quis lorem mattis, faucibus purus et, feugiat lectus."
403130,96037833,12/7/2019 13:12,"Mauris bibendum nunc id nunc feugiat, vitae bibendum metus sagittis."
403131,85029242,12/7/2019 13:15,"Sed in metus commodo, varius lectus non, sollicitudin ante."
403132,18918843,12/7/2019 13:16,Mauris eu nunc vel est finibus bibendum eget sed sapien.
403133,50674807,12/7/2019 13:18,Cras ultrices magna quis cursus efficitur.
403134,96379267,12/7/2019 13:22,Nullam vehicula neque eget ante sodales porttitor.
403135,22830391,12/7/2019 13:25,Aenean id lorem in nibh rutrum ultricies.
403136,65276300,12/7/2019 13:27,Phasellus vestibulum felis in rutrum pellentesque.
403137,52737281,12/7/2019 13:28,"Sed porta massa quis lectus interdum, sed convallis ipsum rutrum."
403138,41083501,12/7/2019 13:29,"Aenean nec arcu pulvinar, bibendum arcu non, dapibus ligula."
403139,34305933,12/7/2019 13:30,Vestibulum vehicula metus interdum felis rutrum volutpat.
403140,92528433,12/7/2019 13:31,Proin at massa nec velit molestie commodo.
403141,60434693,12/7/2019 13:34,"Nullam suscipit orci eu nibh pharetra, ac facilisis eros faucibus."
403142,42852269,12/7/2019 13:37,"Fusce at augue ultrices, scelerisque eros in, aliquet orci."
403143,75564462,12/7/2019 13:41,Praesent quis nisl et ex iaculis tempor sed nec lorem.
403144,42852269,12/7/2019 13:43,Maecenas scelerisque nisl vel luctus imperdiet.
403145,34052592,12/7/2019 13:47,Phasellus dignissim neque in dignissim aliquam.
403146,82836366,12/7/2019 13:48,Duis sed nisl vulputate ante pulvinar accumsan.
403147,31984188,12/7/2019 13:49,Donec eu purus quis sapien fermentum suscipit nec sed lectus.
403148,65276300,12/7/2019 13:50,"Curabitur elementum eros sed orci luctus, in accumsan arcu dictum."
403149,47529561,12/7/2019 13:51,Cras nec augue euismod urna pharetra fermentum eu a risus.
403150,52737281,12/7/2019 13:53,"In eleifend ex sed neque auctor, quis blandit eros ullamcorper."
403151,41083501,12/7/2019 13:55,Donec maximus sem consectetur lacinia porttitor.
403152,92528433,12/7/2019 13:57,Donec dapibus tortor at odio egestas tempor.
403153,10993170,12/7/2019 14:00,Morbi vehicula nisl sit amet sagittis convallis.
403154,31632805,12/7/2019 14:03,Etiam dignissim dui quis metus vehicula luctus sit amet ac sapien.
403155,99468227,12/7/2019 14:04,Nullam sit amet turpis ac urna congue maximus a ut erat.
403156,49925123,12/7/2019 14:07,"Pellentesque vel lacus blandit, commodo ante eu, tempus massa."
403157,18918843,12/7/2019 14:10,"Sed quis dui egestas, imperdiet lacus et, venenatis nibh."
403158,85029242,12/7/2019 14:11,"Nulla tristique leo eu libero laoreet, in suscipit dui blandit."
403159,12475863,12/7/2019 14:12,Quisque a odio nec dui tristique euismod quis vel elit.
403160,12475863,12/7/2019 14:12,"Maecenas sagittis sem nec sem hendrerit, ut egestas diam varius."
403161,42856766,12/7/2019 14:16,Mauris a odio id nibh imperdiet pretium in non ligula.
403162,34305933,12/7/2019 14:18,Proin rhoncus dolor vel lobortis vulputate.
403163,99468227,12/7/2019 14:20,Praesent auctor lorem id maximus iaculis.
403164,34052592,12/7/2019 14:23,"Proin eget metus volutpat, sagittis sem quis, vestibulum erat."
403165,2398742,12/7/2019 14:24,Aenean quis risus id nisl gravida vestibulum.
403166,13758061,12/7/2019 14:26,Morbi non eros nec lorem fringilla vestibulum.
403167,94832806,12/7/2019 14:30,Mauris at est vel ex consectetur ullamcorper sed eu velit.
403168,52096481,12/7/2019 14:34,Aenean gravida tellus sit amet dapibus commodo.
403169,9567273,12/7/2019 14:36,"Morbi a lacus finibus, sagittis arcu ac, convallis eros."
403170,92528433,12/7/2019 14:40,"Proin et leo dictum, pharetra est a, suscipit risus."
403171,31984188,12/7/2019 14:42,"Ut eu est interdum, congue nulla quis, hendrerit purus."
403172,34052592,12/7/2019 14:44,"Sed interdum tellus malesuada sapien dapibus, finibus volutpat leo dictum."
403173,60434693,12/7/2019 14:47,"Quisque imperdiet orci ut risus porta, at venenatis nisl lobortis."
403174,65276300,12/7/2019 14:49,Integer vel ipsum eget est vestibulum euismod non ut magna.
403175,6988481,12/7/2019 14:53,Aliquam ut est eu libero semper posuere varius vel ante.
403176,96037833,12/7/2019 14:56,Sed et neque id felis sollicitudin ornare non ut urna.
403177,12475863,12/7/2019 14:58,Aliquam semper dolor ac laoreet tempus.
403178,42856766,12/7/2019 15:02,Mauris condimentum enim eu vehicula condimentum.
403179,6898742,12/7/2019 15:03,Pellentesque quis massa venenatis urna feugiat hendrerit.
403180,6898742,12/7/2019 15:03,Aliquam feugiat lectus vitae dui posuere gravida.
403181,96864510,12/7/2019 15:04,Cras egestas nisl et dapibus faucibus.
403182,85029242,12/7/2019 15:08,Cras nec est eget nisl cursus hendrerit.
403183,13758061,12/7/2019 15:10,"Aenean at arcu consequat, gravida tortor in, rhoncus ipsum."
403184,12115762,12/7/2019 15:14,Nulla nec nibh in neque vestibulum aliquam eget sed metus.
403185,49925123,12/7/2019 15:15,"Fusce vitae ipsum eleifend, malesuada est vel, aliquam velit."
403186,22830391,12/7/2019 15:18,Fusce eleifend justo ac tortor porttitor ornare.
403187,65276300,12/7/2019 15:22,"Duis molestie diam eu lacus varius, eget sagittis ligula auctor."
403188,50674807,12/7/2019 15:24,"Nullam mattis mi cursus, malesuada nibh pretium, dignissim sapien."
403189,94761749,12/7/2019 15:27,Proin non mi a nibh tempus iaculis.
403190,12475863,12/7/2019 15:28,Vestibulum vitae mauris sed turpis mattis euismod.
403191,96379267,12/7/2019 15:29,Nulla congue tellus et sem ultricies venenatis.
403192,96379267,12/7/2019 15:33,Fusce quis nunc sit amet augue tincidunt tempus.
403193,31632805,12/7/2019 15:34,Vestibulum commodo mi ac gravida euismod.
403194,22830391,12/7/2019 15:35,Vivamus feugiat urna sed cursus malesuada.
403195,96864510,12/7/2019 15:38,Praesent mattis enim quis est bibendum venenatis.
403196,54120190,12/7/2019 15:39,Integer sit amet leo et nisl laoreet faucibus.
403197,47529561,12/7/2019 15:41,"Vestibulum rutrum purus in lacus pellentesque, et euismod tellus vehicula."
403198,47529561,12/7/2019 15:45,Proin viverra sem sit amet faucibus euismod.
403199,31984188,12/7/2019 15:46,Vivamus gravida sem et ornare venenatis.
403200,6988481,12/7/2019 15:50,Cras quis arcu quis ipsum rhoncus elementum sit amet sit amet nulla.
403201,11482505,12/7/2019 15:51,Nam mattis tortor a orci ornare posuere.
403202,82836366,12/7/2019 15:55,Etiam at lectus ut lacus mattis venenatis.
403203,31632805,12/7/2019 15:58,Duis ut neque ac diam eleifend faucibus at in massa.
403204,96037833,12/7/2019 15:59,"Proin condimentum diam vel ipsum consectetur, id condimentum libero vestibulum."
403205,85029242,12/7/2019 16:03,"Morbi vitae neque ornare, fermentum magna nec, viverra sem."
403206,31632805,12/7/2019 16:07,Proin vitae libero sit amet libero pharetra porta et vitae dolor.
403207,27116352,12/7/2019 16:07,Duis vitae velit eleifend enim bibendum tempor maximus in dui.
403208,49925123,12/7/2019 16:08,Mauris sed quam sed sem convallis rhoncus.
403209,27116352,12/7/2019 16:10,"Mauris id augue hendrerit, bibendum odio eget, facilisis diam."
403210,27116352,12/7/2019 16:13,Etiam sagittis mi at lectus dignissim interdum.
403211,88594698,12/7/2019 16:17,Vestibulum porta libero non nisl viverra tincidunt.
403212,94832806,12/7/2019 16:21,Aliquam ultrices massa in tortor consequat efficitur.
403213,42852269,12/7/2019 16:24,"Cras vel est pulvinar, venenatis dolor eget, blandit purus."
403214,31632805,12/7/2019 16:25,Pellentesque iaculis magna id leo lacinia ultricies.
403215,31632805,12/7/2019 16:27,"Etiam gravida sapien molestie ipsum pharetra, non pellentesque nunc facilisis."
403216,94832806,12/7/2019 16:31,Sed ultrices dui id leo ultricies facilisis.
403217,34305933,12/7/2019 16:32,Nullam ultricies orci et tincidunt maximus.
403218,34052592,12/7/2019 16:36,"Fusce aliquet ipsum id erat fermentum, non tempus est rutrum."
403219,92528433,12/7/2019 16:38,"Vestibulum suscipit odio quis dolor hendrerit, porttitor scelerisque lorem facilisis."
403220,94832806,12/7/2019 16:42,"Morbi fringilla eros non velit consectetur, sed iaculis ligula lobortis."
403221,11482505,12/7/2019 16:44,"Duis nec felis elementum, viverra odio et, pharetra tellus."
403222,11482505,12/7/2019 16:46,"In nec erat iaculis, dignissim tortor at, fermentum tellus."
403223,79583157,12/7/2019 16:48,Mauris dignissim libero non dictum pharetra.
403224,18918843,12/7/2019 16:52,Sed eget est cursus arcu condimentum pretium.
403225,88594698,12/7/2019 16:53,"Nulla vehicula justo a lorem euismod, quis lobortis diam efficitur."
403226,30813422,12/7/2019 16:56,"In a nulla sagittis, accumsan magna sed, volutpat arcu."
403227,86960861,12/7/2019 16:59,Duis pulvinar purus eu maximus dignissim.
403228,40140169,12/7/2019 17:00,Donec quis risus non dolor dignissim porta.
403229,86960861,12/7/2019 17:04,Proin aliquet tortor vitae purus convallis facilisis.
403230,30813422,12/7/2019 17:07,Quisque in leo id justo feugiat pharetra quis sit amet justo.
403231,99468227,12/7/2019 17:09,Nullam porttitor felis non orci sollicitudin tempus.
403232,47722299,12/7/2019 17:12,Etiam condimentum eros id felis feugiat fringilla.
403233,9567273,12/7/2019 17:15,Aliquam in justo at arcu interdum imperdiet.
403234,31984188,12/7/2019 17:16,"Integer auctor lacus vel ligula dapibus, pulvinar ultricies orci elementum."
403235,41083501,12/7/2019 17:17,"Curabitur sagittis odio sed est mattis, at auctor lacus condimentum."
403236,42852269,12/7/2019 17:21,Cras fermentum felis id justo vulputate sagittis.
403237,75564462,12/7/2019 17:22,Proin viverra urna eget lorem bibendum fermentum.
403238,34305933,12/7/2019 17:23,Sed eu ex id turpis ullamcorper ornare eget ac dolor.
403239,54120190,12/7/2019 17:26,Nunc vitae tortor sit amet urna interdum bibendum.
403240,22830391,12/7/2019 17:30,Maecenas pulvinar turpis ut accumsan feugiat.
403241,42856766,12/7/2019 17:31,In ut ex ut nisl viverra suscipit et quis neque.
403242,65276300,12/7/2019 17:35,"In fermentum dolor facilisis eros aliquam, at gravida eros semper."
403243,65276300,12/7/2019 17:37,"Curabitur ac ex aliquam, pulvinar ligula condimentum, accumsan turpis."
403244,89253200,12/7/2019 17:39,"Nulla a lacus pulvinar, suscipit purus eget, mattis mi."
403245,99468227,12/7/2019 17:41,Pellentesque posuere lacus vitae congue convallis.
403246,52737281,12/7/2019 17:44,"Sed at justo efficitur, pretium sem id, convallis quam."
403247,13758061,12/7/2019 17:47,"Phasellus imperdiet ante quis velit finibus, quis dapibus purus iaculis."
403248,42856766,12/7/2019 17:49,Sed cursus justo in augue sollicitudin lobortis.
403249,41315375,12/7/2019 17:51,"Phasellus mollis neque egestas, ornare nisl a, commodo justo."
403250,6898742,12/7/2019 17:53,Donec viverra lacus sit amet ante eleifend vestibulum.
403251,54120190,12/7/2019 17:56,Cras id dolor et augue auctor fermentum.
403252,40140169,12/7/2019 17:59,Donec aliquet sapien quis metus fringilla euismod.
403253,10993170,12/7/2019 17:59,"Praesent dignissim metus sit amet ipsum lacinia, sed porta ante pharetra."
403254,40140169,12/7/2019 18:00,"Aliquam eu leo malesuada, volutpat sapien at, feugiat ante."
403255,22830391,12/7/2019 18:04,Duis ullamcorper turpis ac lobortis rhoncus.
403256,22830391,12/7/2019 18:05,Nulla nec urna nec ipsum elementum aliquam.
403257,12475863,12/7/2019 18:05,"Duis ut dolor scelerisque, ornare sapien sed, mollis turpis."
403258,85029242,12/7/2019 18:07,Pellentesque feugiat orci varius aliquam scelerisque.
403259,41315375,12/7/2019 18:09,"In blandit urna consequat, viverra dui et, viverra risus."
403260,50674807,12/7/2019 18:12,Vestibulum consectetur sapien a luctus accumsan.
403261,99468227,12/7/2019 18:14,"Suspendisse eu turpis dictum, maximus mi a, porta turpis."
403262,34052592,12/7/2019 18:16,"Suspendisse vitae diam semper, egestas tortor quis, dignissim mi."
403263,65276300,12/7/2019 18:20,Proin vitae enim a ipsum luctus vehicula vitae eget lorem.
403264,31632805,12/7/2019 18:20,"Nam nec libero sollicitudin, eleifend felis in, imperdiet nunc."
403265,2398742,12/7/2019 18:22,Phasellus sed nisi eget velit consectetur varius.
403266,40140169,12/7/2019 18:23,Proin at quam a magna luctus porttitor et nec ante.
403267,31984188,12/7/2019 18:25,Aliquam bibendum mi ut lorem gravida sollicitudin.
403268,89253200,12/7/2019 18:29,"Sed suscipit elit a mauris euismod, vel scelerisque massa venenatis."
403269,96379267,12/7/2019 18:29,"Nam vulputate felis et arcu molestie, nec porttitor nisi volutpat."
403270,12475863,12/7/2019 18:32,"Etiam scelerisque arcu id erat varius, vitae accumsan neque varius."
403271,11482505,12/7/2019 18:34,Aenean pretium erat ut odio tempor molestie.
403272,47722299,12/7/2019 18:37,Nullam sagittis metus vitae sodales auctor.
403273,86960861,12/7/2019 18:38,Curabitur egestas sapien vel dui sodales suscipit.
403274,86960861,12/7/2019 18:39,Suspendisse pretium lectus ac orci feugiat luctus.
403275,12475863,12/7/2019 18:41,Nam eget turpis quis nulla malesuada interdum in vel nibh.
403276,75564462,12/7/2019 18:42,"In nec neque sagittis, porta nisi sit amet, tincidunt orci."
403277,47529561,12/7/2019 18:44,"Nulla eu quam bibendum, interdum velit sit amet, rutrum neque."
403278,54120190,12/7/2019 18:48,"Vestibulum faucibus nisl et eros aliquet, in fringilla nunc suscipit."
403279,88594698,12/7/2019 18:49,Nam ultricies lorem in dapibus fringilla.
403280,94832806,12/7/2019 18:51,Duis placerat mauris non diam placerat cursus.
403281,13758061,12/7/2019 18:53,Etiam sit amet tellus non ligula finibus pretium.
403282,31984188,12/7/2019 18:54,Proin id sapien id mauris lacinia tincidunt.
403283,52096481,12/7/2019 18:54,"Vivamus eu libero auctor, ultrices lorem euismod, accumsan dolor."
403284,42856766,12/7/2019 18:58,Phasellus fringilla nisi sed placerat cursus.
403285,83815319,12/7/2019 19:01,Vestibulum consectetur nibh in velit molestie facilisis.
403286,47529561,12/7/2019 19:05,"Vestibulum porttitor massa vel justo tempus, sed interdum eros faucibus."
403287,47529561,12/7/2019 19:06,Nulla gravida quam vitae fringilla tempus.
403288,10993170,12/7/2019 19:08,"Duis a diam venenatis, sagittis sem nec, finibus dolor."
403289,42852269,12/7/2019 19:08,"Nulla vel neque luctus, dignissim eros non, aliquet elit."
403290,9567273,12/7/2019 19:11,"Sed blandit sem vel justo pharetra, vel facilisis purus malesuada."
403291,40140169,12/7/2019 19:13,"Praesent non urna posuere, interdum lectus at, consectetur turpis."
403292,79583157,12/7/2019 19:15,Donec quis eros in arcu aliquam pretium.
403293,85029242,12/7/2019 19:15,Fusce vehicula massa non maximus varius.
403294,79583157,12/7/2019 19:16,Duis et arcu a lectus consequat scelerisque.
403295,61795158,12/7/2019 19:19,Fusce eget risus ac turpis dictum elementum quis ut sem.
403296,96037833,12/7/2019 19:22,"Nam at orci bibendum, semper odio sit amet, consequat magna."
403297,49925123,12/7/2019 19:23,"Cras sit amet justo consectetur, condimentum nisl vel, tincidunt tellus."
403298,96864510,12/7/2019 19:25,Maecenas consectetur tellus at urna viverra semper.
403299,31632805,12/7/2019 19:27,"Integer ut ligula laoreet, faucibus urna id, feugiat arcu."
403300,34305933,12/7/2019 19:29,"Vivamus commodo tortor varius erat mollis, eget malesuada neque iaculis."
403301,85029242,12/7/2019 19:30,Pellentesque quis nibh sit amet ex tempus tempus.
403302,86960861,12/7/2019 19:30,"Phasellus in nisl vehicula, sagittis justo sit amet, rutrum sem."
403303,75564462,12/7/2019 19:33,Integer vehicula leo sit amet ex convallis sagittis.
403304,94832806,12/7/2019 19:35,Vestibulum eget dui non erat pretium mollis.
403305,31984188,12/7/2019 19:38,"Integer et nulla consectetur, facilisis diam nec, pretium nisi."
403306,13758061,12/7/2019 19:41,Quisque vitae velit et arcu luctus dapibus eu ac ipsum.
403307,47529561,12/7/2019 19:42,"Donec viverra nulla at ligula ultrices, at bibendum enim dictum."
403308,11482505,12/7/2019 19:44,"Duis euismod ligula eu est consequat, eget aliquam ligula vehicula."
403309,11482505,12/7/2019 19:47,Donec suscipit magna non tincidunt luctus.
403310,96037833,12/7/2019 19:49,Aliquam rutrum velit a sapien scelerisque ornare.
403311,54120190,12/7/2019 19:52,"Morbi accumsan elit at enim lobortis, euismod posuere est cursus."
403312,18918843,12/7/2019 19:54,Nam venenatis ligula a elit suscipit convallis.
403313,47722299,12/7/2019 19:58,"Aenean accumsan lorem tincidunt augue varius, sed ullamcorper lacus fermentum."
403314,52737281,12/7/2019 20:00,Mauris a quam sit amet dui porta lacinia.
403315,5068480,12/7/2019 20:03,"Donec iaculis metus vel neque vehicula, vitae convallis nibh vehicula."
403316,40140169,12/7/2019 20:07,Nulla dapibus turpis nec molestie dictum.
403317,31984188,12/7/2019 20:10,Cras feugiat metus a orci malesuada tincidunt ac quis dolor.
403318,86960861,12/7/2019 20:12,"Aenean in magna mattis, ornare nisi ac, iaculis nibh."
403319,11482505,12/7/2019 20:15,Vestibulum vel purus id nunc bibendum mattis.
403320,52096481,12/7/2019 20:17,Proin vitae eros id quam scelerisque vehicula nec suscipit ligula.
403321,88594698,12/7/2019 20:18,Nulla tempus orci vehicula faucibus imperdiet.
403322,92528433,12/7/2019 20:20,"Vestibulum vel orci fermentum, congue eros quis, posuere lorem."
403323,10993170,12/7/2019 20:22,Nunc sit amet libero et mi ultrices efficitur.
403324,30813422,12/7/2019 20:26,Fusce ut magna sit amet lorem vehicula elementum.
403325,10993170,12/7/2019 20:29,Fusce tempus enim vehicula enim ornare pretium.
403326,27116352,12/7/2019 20:31,Integer finibus nibh at ligula euismod vulputate.
403327,61795158,12/7/2019 20:35,"Curabitur vitae purus mattis, egestas lacus nec, aliquam elit."
403328,79583157,12/7/2019 20:38,Aliquam varius lorem ut urna tristique tristique.
403329,31984188,12/7/2019 20:41,Integer vitae ligula eu nibh cursus tempus.
403330,94761749,12/7/2019 20:43,"Ut eu tortor mollis, vulputate lectus non, placerat turpis."
403331,12115762,12/7/2019 20:46,Pellentesque fermentum enim non mauris laoreet tincidunt consequat vel urna.
