Area Code,Date,Market,Market Size,Product,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
310,1/1/2012 12:00:00 AM,West,Major Market,Lemon,Herbal Tea,California,Decaf,170,220,160,$0K,207,965,245,64,1,160,$0K,85
707,1/1/2012 12:00:00 AM,West,Major Market,Mint,Herbal Tea,California,Decaf,70,90,60,$0K,83,623,107,27,1,67,$0K,40
719,1/1/2012 12:00:00 AM,Central,Major Market,Amaretto,Coffee,Colorado,Regular,90,130,100,$0K,89,777,130,24,1,94,$0K,36
740,1/1/2012 12:00:00 AM,Central,Major Market,Amaretto,Coffee,Ohio,Regular,60,80,50,$0K,60,336,80,19,1,34,$0K,46
970,1/1/2012 12:00:00 AM,Central,Major Market,Colombian,Coffee,Colorado,Regular,80,110,80,$0K,83,623,107,27,1,68,$0K,39
217,1/1/2012 12:00:00 AM,Central,Major Market,Colombian,Coffee,Illinois,Regular,150,210,130,$0K,144,862,201,47,1,111,$0K,90
614,1/1/2012 12:00:00 AM,Central,Major Market,Colombian,Coffee,Ohio,Regular,60,80,50,$0K,57,364,83,18,1,42,$0K,41
303,1/1/2012 12:00:00 AM,Central,Major Market,Caffe Mocha,Espresso,Colorado,Regular,60,90,70,$0K,54,456,80,15,1,54,$0K,26
309,1/1/2012 12:00:00 AM,Central,Major Market,Caffe Mocha,Espresso,Illinois,Regular,270,370,260,$1K,234,1310,312,77,1,203,$1K,109
614,1/1/2012 12:00:00 AM,Central,Major Market,Caffe Mocha,Espresso,Ohio,Regular,190,210,140,$0K,170,1091,171,47,1,99,$0K,72
719,1/1/2012 12:00:00 AM,Central,Major Market,Darjeeling,Tea,Colorado,Regular,40,70,20,$0K,58,338,72,22,1,17,$0K,55
217,1/1/2012 12:00:00 AM,Central,Major Market,Darjeeling,Tea,Illinois,Regular,40,70,50,$0K,54,456,80,15,1,53,$0K,27
567,1/1/2012 12:00:00 AM,Central,Major Market,Darjeeling,Tea,Ohio,Regular,70,110,60,$0K,84,651,126,27,1,68,$0K,58
303,1/1/2012 12:00:00 AM,Central,Major Market,Earl Grey,Tea,Colorado,Regular,50,70,40,$0K,64,965,76,19,1,36,$0K,40
708,1/1/2012 12:00:00 AM,Central,Major Market,Earl Grey,Tea,Illinois,Regular,60,90,40,$0K,72,558,108,23,1,54,$0K,54
216,1/1/2012 12:00:00 AM,Central,Major Market,Earl Grey,Tea,Ohio,Regular,70,100,60,$0K,84,500,116,26,1,67,$0K,49
303,1/1/2012 12:00:00 AM,Central,Major Market,Green Tea,Tea,Colorado,Regular,30,50,30,$0K,44,623,56,14,1,30,$0K,26
954,1/1/2012 12:00:00 AM,East,Major Market,Colombian,Coffee,Florida,Regular,80,110,70,$0K,84,651,126,27,1,68,$0K,58
413,1/1/2012 12:00:00 AM,East,Major Market,Colombian,Coffee,Massachusetts,Regular,60,400,360,$0K,72,558,422,23,1,367,$0K,55
716,1/1/2012 12:00:00 AM,East,Major Market,Colombian,Coffee,New York,Regular,260,380,260,$1K,271,2101,407,94,1,262,$1K,145
239,1/1/2012 12:00:00 AM,East,Major Market,Caffe Mocha,Espresso,Florida,Regular,70,110,30,$0K,79,551,111,72,1,9,$0K,102
781,1/1/2012 12:00:00 AM,East,Major Market,Caffe Mocha,Espresso,Massachusetts,Regular,60,60,-10,$0K,63,435,63,57,1,-23,$0K,86
315,1/1/2012 12:00:00 AM,East,Major Market,Caffe Mocha,Espresso,New York,Regular,100,-50,-170,$0K,105,725,-44,95,1,-172,$0K,128
978,1/1/2012 12:00:00 AM,East,Major Market,Regular Espresso,Espresso,Massachusetts,Regular,160,170,110,$0K,170,1091,171,47,1,100,$0K,71
631,1/1/2012 12:00:00 AM,East,Major Market,Regular Espresso,Espresso,New York,Regular,210,270,200,$0K,228,1459,262,63,1,175,$0K,87
954,1/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Tea,Florida,Regular,30,50,40,$0K,32,821,48,8,1,28,$0K,20
508,1/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Tea,Massachusetts,Regular,30,50,40,$0K,32,821,48,8,1,29,$0K,19
347,1/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Tea,New York,Regular,100,150,120,$0K,95,821,139,26,1,101,$0K,38
646,1/1/2012 12:00:00 AM,East,Major Market,Earl Grey,Tea,New York,Regular,90,140,110,$0K,89,777,130,24,1,94,$0K,36
754,1/1/2012 12:00:00 AM,East,Major Market,Green Tea,Tea,Florida,Regular,30,50,40,$0K,33,777,48,9,1,28,$0K,20
781,1/1/2012 12:00:00 AM,East,Major Market,Green Tea,Tea,Massachusetts,Regular,30,50,40,$0K,32,456,48,8,1,29,$0K,19
347,1/1/2012 12:00:00 AM,East,Major Market,Green Tea,Tea,New York,Regular,50,90,70,$0K,54,456,80,15,1,54,$0K,26
409,1/1/2012 12:00:00 AM,South,Major Market,Colombian,Coffee,Texas,Regular,260,300,220,$1K,207,965,245,64,1,159,$0K,86
830,1/1/2012 12:00:00 AM,South,Major Market,Caffe Latte,Espresso,Texas,Regular,60,90,50,$0K,72,558,108,23,1,53,$0K,55
325,1/1/2012 12:00:00 AM,South,Major Market,Caffe Mocha,Espresso,Texas,Regular,70,110,90,$0K,89,777,130,24,1,95,$0K,35
916,1/1/2012 12:00:00 AM,West,Major Market,Amaretto,Coffee,California,Regular,110,70,30,$0K,95,608,50,30,1,-2,$0K,52
559,1/1/2012 12:00:00 AM,West,Major Market,Colombian,Coffee,California,Regular,340,500,370,$1K,271,2101,407,94,1,262,$1K,145
661,1/1/2012 12:00:00 AM,West,Major Market,Caffe Latte,Espresso,California,Regular,210,220,150,$0K,228,1459,228,63,1,140,$0K,88
818,1/1/2012 12:00:00 AM,West,Major Market,Caffe Mocha,Espresso,California,Regular,100,140,20,$0K,105,725,145,95,1,17,$0K,128
619,1/1/2012 12:00:00 AM,West,Major Market,Darjeeling,Tea,California,Regular,50,90,80,$0K,89,777,130,24,1,94,$0K,36
650,1/1/2012 12:00:00 AM,West,Major Market,Earl Grey,Tea,California,Regular,30,60,60,$0K,54,456,80,15,1,54,$0K,26
760,1/1/2012 12:00:00 AM,West,Major Market,Green Tea,Tea,California,Regular,40,80,50,$0K,72,558,108,23,1,54,$0K,54
712,1/1/2012 12:00:00 AM,Central,Small Market,Decaf Irish Cream,Coffee,Iowa,Decaf,20,30,20,$0K,23,623,31,7,1,12,$0K,19
573,1/1/2012 12:00:00 AM,Central,Small Market,Decaf Irish Cream,Coffee,Missouri,Decaf,80,90,50,$0K,78,965,92,24,1,47,$0K,45
414,1/1/2012 12:00:00 AM,Central,Small Market,Decaf Irish Cream,Coffee,Wisconsin,Decaf,80,100,60,$0K,77,432,103,25,1,51,$0K,52
563,1/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Espresso,Iowa,Decaf,10,40,30,$0K,17,777,26,4,1,10,$0K,16
660,1/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Espresso,Missouri,Decaf,50,80,60,$0K,46,777,68,12,1,45,$0K,23
262,1/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Espresso,Wisconsin,Decaf,50,70,50,$0K,48,623,62,15,1,34,$0K,28
641,1/1/2012 12:00:00 AM,Central,Small Market,Chamomile,Herbal Tea,Iowa,Decaf,200,280,200,$0K,234,1310,312,77,1,202,$1K,110
573,1/1/2012 12:00:00 AM,Central,Small Market,Chamomile,Herbal Tea,Missouri,Decaf,30,40,0,$0K,37,261,53,34,1,-11,$0K,64
715,1/1/2012 12:00:00 AM,Central,Small Market,Chamomile,Herbal Tea,Wisconsin,Decaf,50,100,80,$0K,67,400,113,20,1,70,$0K,43
563,1/1/2012 12:00:00 AM,Central,Small Market,Lemon,Herbal Tea,Iowa,Decaf,80,120,90,$0K,95,608,139,30,1,86,$0K,53
314,1/1/2012 12:00:00 AM,Central,Small Market,Lemon,Herbal Tea,Missouri,Decaf,70,10,-20,$0K,88,525,11,27,1,-39,$0K,50
715,1/1/2012 12:00:00 AM,Central,Small Market,Lemon,Herbal Tea,Wisconsin,Decaf,20,50,50,$0K,33,777,48,9,1,28,$0K,20
475,1/1/2012 12:00:00 AM,East,Small Market,Decaf Espresso,Espresso,Connecticut,Decaf,50,70,40,$0K,55,312,75,18,1,30,$0K,45
860,1/1/2012 12:00:00 AM,East,Small Market,Lemon,Herbal Tea,Connecticut,Decaf,60,80,40,$0K,85,494,105,32,1,40,$0K,65
603,1/1/2012 12:00:00 AM,East,Small Market,Lemon,Herbal Tea,New Hampshire,Decaf,20,30,0,$0K,34,197,42,12,1,-4,$0K,46
475,1/1/2012 12:00:00 AM,East,Small Market,Mint,Herbal Tea,Connecticut,Decaf,50,80,50,$0K,78,965,92,24,1,47,$0K,45
985,1/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Coffee,Louisiana,Decaf,40,60,50,$0K,33,777,48,9,1,28,$0K,20
505,1/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Coffee,New Mexico,Decaf,110,10,-30,$0K,88,525,11,27,1,-39,$0K,50
580,1/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Coffee,Oklahoma,Decaf,40,60,50,$0K,32,821,48,8,1,28,$0K,20
337,1/1/2012 12:00:00 AM,South,Small Market,Decaf Espresso,Espresso,Louisiana,Decaf,50,70,50,$0K,61,390,89,19,1,48,$0K,41
505,1/1/2012 12:00:00 AM,South,Small Market,Decaf Espresso,Espresso,New Mexico,Decaf,30,40,10,$0K,35,196,47,11,1,9,$0K,38
405,1/1/2012 12:00:00 AM,South,Small Market,Decaf Espresso,Espresso,Oklahoma,Decaf,70,110,70,$0K,84,651,126,27,1,67,$0K,59
337,1/1/2012 12:00:00 AM,South,Small Market,Chamomile,Herbal Tea,Louisiana,Decaf,40,60,40,$0K,49,623,63,16,1,35,$0K,28
505,1/1/2012 12:00:00 AM,South,Small Market,Chamomile,Herbal Tea,New Mexico,Decaf,10,30,20,$0K,18,821,27,5,1,11,$0K,16
918,1/1/2012 12:00:00 AM,South,Small Market,Chamomile,Herbal Tea,Oklahoma,Decaf,50,60,20,$0K,54,312,66,20,1,13,$0K,53
504,1/1/2012 12:00:00 AM,South,Small Market,Lemon,Herbal Tea,Louisiana,Decaf,80,100,40,$0K,85,494,105,32,1,40,$0K,65
505,1/1/2012 12:00:00 AM,South,Small Market,Lemon,Herbal Tea,New Mexico,Decaf,20,40,20,$0K,28,965,34,8,1,4,$0K,30
580,1/1/2012 12:00:00 AM,South,Small Market,Lemon,Herbal Tea,Oklahoma,Decaf,70,110,30,$0K,79,551,111,72,1,10,$0K,101
775,1/1/2012 12:00:00 AM,West,Small Market,Decaf Irish Cream,Coffee,Nevada,Decaf,30,40,20,$0K,28,965,34,8,1,4,$0K,30
971,1/1/2012 12:00:00 AM,West,Small Market,Decaf Irish Cream,Coffee,Oregon,Decaf,70,100,70,$0K,57,364,83,18,1,42,$0K,41
801,1/1/2012 12:00:00 AM,West,Small Market,Decaf Irish Cream,Coffee,Utah,Decaf,100,130,70,$0K,85,494,105,32,1,39,$0K,66
509,1/1/2012 12:00:00 AM,West,Small Market,Decaf Irish Cream,Coffee,Washington,Decaf,90,140,60,$0K,79,551,111,72,1,9,$0K,102
775,1/1/2012 12:00:00 AM,West,Small Market,Decaf Espresso,Espresso,Nevada,Decaf,10,30,20,$0K,17,777,26,4,1,11,$0K,15
971,1/1/2012 12:00:00 AM,West,Small Market,Decaf Espresso,Espresso,Oregon,Decaf,160,160,100,$0K,170,1091,171,47,1,99,$0K,72
435,1/1/2012 12:00:00 AM,West,Small Market,Decaf Espresso,Espresso,Utah,Decaf,40,70,50,$0K,50,821,73,14,1,47,$0K,26
206,1/1/2012 12:00:00 AM,West,Small Market,Decaf Espresso,Espresso,Washington,Decaf,60,80,60,$0K,69,965,81,21,1,39,$0K,42
702,1/1/2012 12:00:00 AM,West,Small Market,Chamomile,Herbal Tea,Nevada,Decaf,90,130,30,$0K,105,725,145,95,1,16,$0K,129
971,1/1/2012 12:00:00 AM,West,Small Market,Chamomile,Herbal Tea,Oregon,Decaf,30,40,40,$0K,36,777,54,10,1,33,$0K,21
801,1/1/2012 12:00:00 AM,West,Small Market,Chamomile,Herbal Tea,Utah,Decaf,30,50,30,$0K,38,241,55,12,1,21,$0K,34
206,1/1/2012 12:00:00 AM,West,Small Market,Chamomile,Herbal Tea,Washington,Decaf,100,170,120,$0K,124,961,186,40,1,115,$0K,71
775,1/1/2012 12:00:00 AM,West,Small Market,Lemon,Herbal Tea,Nevada,Decaf,120,180,120,$0K,144,862,201,47,1,111,$0K,90
503,1/1/2012 12:00:00 AM,West,Small Market,Lemon,Herbal Tea,Oregon,Decaf,30,50,30,$0K,44,623,56,14,1,29,$0K,27
435,1/1/2012 12:00:00 AM,West,Small Market,Lemon,Herbal Tea,Utah,Decaf,40,60,30,$0K,48,372,72,15,1,25,$0K,47
360,1/1/2012 12:00:00 AM,West,Small Market,Lemon,Herbal Tea,Washington,Decaf,20,50,50,$0K,34,777,51,9,1,30,$0K,21
702,1/1/2012 12:00:00 AM,West,Small Market,Mint,Herbal Tea,Nevada,Decaf,80,120,90,$0K,95,608,139,30,1,86,$0K,53
435,1/1/2012 12:00:00 AM,West,Small Market,Mint,Herbal Tea,Utah,Decaf,70,10,-30,$0K,88,525,11,27,1,-40,$0K,51
319,1/1/2012 12:00:00 AM,Central,Small Market,Amaretto,Coffee,Iowa,Regular,10,30,20,$0K,18,821,27,5,1,11,$0K,16
262,1/1/2012 12:00:00 AM,Central,Small Market,Amaretto,Coffee,Wisconsin,Regular,50,70,30,$0K,54,312,66,20,1,13,$0K,53
641,1/1/2012 12:00:00 AM,Central,Small Market,Colombian,Coffee,Iowa,Regular,20,40,20,$0K,28,965,34,8,1,5,$0K,29
636,1/1/2012 12:00:00 AM,Central,Small Market,Colombian,Coffee,Missouri,Regular,90,100,40,$0K,85,494,105,32,1,39,$0K,66
262,1/1/2012 12:00:00 AM,Central,Small Market,Colombian,Coffee,Wisconsin,Regular,80,110,20,$0K,79,551,111,72,1,9,$0K,102
563,1/1/2012 12:00:00 AM,Central,Small Market,Caffe Mocha,Espresso,Iowa,Regular,10,40,30,$0K,17,777,26,4,1,11,$0K,15
573,1/1/2012 12:00:00 AM,Central,Small Market,Caffe Mocha,Espresso,Missouri,Regular,50,90,70,$0K,50,821,73,14,1,48,$0K,25
414,1/1/2012 12:00:00 AM,Central,Small Market,Caffe Mocha,Espresso,Wisconsin,Regular,80,90,50,$0K,69,965,81,21,1,38,$0K,43
712,1/1/2012 12:00:00 AM,Central,Small Market,Darjeeling,Tea,Iowa,Regular,190,210,140,$0K,228,1459,228,63,1,141,$0K,87
314,1/1/2012 12:00:00 AM,Central,Small Market,Darjeeling,Tea,Missouri,Regular,30,40,10,$0K,35,196,47,11,1,9,$0K,38
608,1/1/2012 12:00:00 AM,Central,Small Market,Darjeeling,Tea,Wisconsin,Regular,50,80,50,$0K,61,390,89,19,1,47,$0K,42
319,1/1/2012 12:00:00 AM,Central,Small Market,Earl Grey,Tea,Iowa,Regular,210,270,160,$0K,245,1419,301,93,1,175,$1K,126
573,1/1/2012 12:00:00 AM,Central,Small Market,Earl Grey,Tea,Missouri,Regular,20,30,-10,$0K,29,169,36,11,1,-9,$0K,45
262,1/1/2012 12:00:00 AM,Central,Small Market,Earl Grey,Tea,Wisconsin,Regular,60,90,10,$0K,75,522,105,68,1,7,$0K,98
417,1/1/2012 12:00:00 AM,Central,Small Market,Green Tea,Tea,Missouri,Regular,20,40,0,$0K,34,197,42,12,1,-4,$0K,46
603,1/1/2012 12:00:00 AM,East,Small Market,Amaretto,Coffee,New Hampshire,Regular,30,50,30,$0K,38,241,55,12,1,20,$0K,35
475,1/1/2012 12:00:00 AM,East,Small Market,Colombian,Coffee,Connecticut,Regular,110,180,130,$0K,124,961,186,40,1,115,$0K,71
603,1/1/2012 12:00:00 AM,East,Small Market,Colombian,Coffee,New Hampshire,Regular,40,70,40,$0K,48,372,72,15,1,25,$0K,47
860,1/1/2012 12:00:00 AM,East,Small Market,Caffe Mocha,Espresso,Connecticut,Regular,70,100,20,$0K,75,522,105,68,1,7,$0K,98
603,1/1/2012 12:00:00 AM,East,Small Market,Caffe Mocha,Espresso,New Hampshire,Regular,30,50,0,$0K,37,261,53,34,1,-10,$0K,63
603,1/1/2012 12:00:00 AM,East,Small Market,Regular Espresso,Espresso,New Hampshire,Regular,20,40,0,$0K,29,169,36,11,1,-8,$0K,44
475,1/1/2012 12:00:00 AM,East,Small Market,Darjeeling,Tea,Connecticut,Regular,50,80,60,$0K,50,821,73,14,1,47,$0K,26
603,1/1/2012 12:00:00 AM,East,Small Market,Darjeeling,Tea,New Hampshire,Regular,10,30,20,$0K,18,821,27,5,1,10,$0K,17
475,1/1/2012 12:00:00 AM,East,Small Market,Green Tea,Tea,Connecticut,Regular,40,60,40,$0K,38,777,56,10,1,35,$0K,21
603,1/1/2012 12:00:00 AM,East,Small Market,Green Tea,Tea,New Hampshire,Regular,10,30,20,$0K,17,777,26,4,1,11,$0K,15
225,1/1/2012 12:00:00 AM,South,Small Market,Colombian,Coffee,Louisiana,Regular,40,60,50,$0K,34,777,51,9,1,30,$0K,21
505,1/1/2012 12:00:00 AM,South,Small Market,Colombian,Coffee,New Mexico,Regular,60,90,50,$0K,48,372,72,15,1,26,$0K,46
580,1/1/2012 12:00:00 AM,South,Small Market,Colombian,Coffee,Oklahoma,Regular,50,70,50,$0K,44,623,56,14,1,29,$0K,27
504,1/1/2012 12:00:00 AM,South,Small Market,Caffe Latte,Espresso,Louisiana,Regular,60,90,10,$0K,75,522,105,68,1,8,$0K,97
505,1/1/2012 12:00:00 AM,South,Small Market,Caffe Latte,Espresso,New Mexico,Regular,20,30,0,$0K,29,169,36,11,1,-8,$0K,44
405,1/1/2012 12:00:00 AM,South,Small Market,Caffe Latte,Espresso,Oklahoma,Regular,70,100,70,$0K,84,500,116,26,1,66,$0K,50
337,1/1/2012 12:00:00 AM,South,Small Market,Caffe Mocha,Espresso,Louisiana,Regular,50,100,80,$0K,67,400,113,20,1,70,$0K,43
505,1/1/2012 12:00:00 AM,South,Small Market,Caffe Mocha,Espresso,New Mexico,Regular,30,40,-10,$0K,37,261,53,34,1,-10,$0K,63
405,1/1/2012 12:00:00 AM,South,Small Market,Caffe Mocha,Espresso,Oklahoma,Regular,20,40,40,$0K,32,456,48,8,1,28,$0K,20
541,1/1/2012 12:00:00 AM,West,Small Market,Amaretto,Coffee,Oregon,Regular,70,110,40,$0K,63,435,87,57,1,1,$0K,86
801,1/1/2012 12:00:00 AM,West,Small Market,Amaretto,Coffee,Utah,Regular,90,120,80,$0K,78,965,92,24,1,47,$0K,45
702,1/1/2012 12:00:00 AM,West,Small Market,Colombian,Coffee,Nevada,Regular,40,50,10,$0K,34,197,42,12,1,-3,$0K,45
503,1/1/2012 12:00:00 AM,West,Small Market,Colombian,Coffee,Oregon,Regular,80,120,60,$0K,67,400,93,22,1,28,$0K,65
435,1/1/2012 12:00:00 AM,West,Small Market,Colombian,Coffee,Utah,Regular,60,100,70,$0K,55,312,75,18,1,30,$0K,45
206,1/1/2012 12:00:00 AM,West,Small Market,Colombian,Coffee,Washington,Regular,60,100,70,$0K,53,338,77,16,1,38,$0K,39
775,1/1/2012 12:00:00 AM,West,Small Market,Caffe Latte,Espresso,Nevada,Regular,10,30,20,$0K,17,777,26,4,1,11,$0K,15
503,1/1/2012 12:00:00 AM,West,Small Market,Caffe Latte,Espresso,Oregon,Regular,50,70,20,$0K,58,338,72,22,1,16,$0K,56
435,1/1/2012 12:00:00 AM,West,Small Market,Caffe Latte,Espresso,Utah,Regular,40,60,40,$0K,46,777,68,12,1,44,$0K,24
425,1/1/2012 12:00:00 AM,West,Small Market,Caffe Latte,Espresso,Washington,Regular,40,60,40,$0K,48,623,62,15,1,35,$0K,27
702,1/1/2012 12:00:00 AM,West,Small Market,Caffe Mocha,Espresso,Nevada,Regular,10,30,20,$0K,18,821,27,5,1,10,$0K,17
503,1/1/2012 12:00:00 AM,West,Small Market,Caffe Mocha,Espresso,Oregon,Regular,50,80,50,$0K,60,336,80,19,1,33,$0K,47
435,1/1/2012 12:00:00 AM,West,Small Market,Caffe Mocha,Espresso,Utah,Regular,40,60,40,$0K,49,623,63,16,1,34,$0K,29
253,1/1/2012 12:00:00 AM,West,Small Market,Caffe Mocha,Espresso,Washington,Regular,50,60,20,$0K,54,312,66,20,1,13,$0K,53
775,1/1/2012 12:00:00 AM,West,Small Market,Darjeeling,Tea,Nevada,Regular,150,220,150,$0K,234,1310,312,77,1,203,$1K,109
971,1/1/2012 12:00:00 AM,West,Small Market,Darjeeling,Tea,Oregon,Regular,20,30,30,$0K,32,456,48,8,1,28,$0K,20
435,1/1/2012 12:00:00 AM,West,Small Market,Darjeeling,Tea,Utah,Regular,20,40,0,$0K,37,261,53,34,1,-10,$0K,63
360,1/1/2012 12:00:00 AM,West,Small Market,Darjeeling,Tea,Washington,Regular,40,80,50,$0K,67,400,113,20,1,70,$0K,43
775,1/1/2012 12:00:00 AM,West,Small Market,Earl Grey,Tea,Nevada,Regular,150,160,100,$0K,228,1459,228,63,1,141,$0K,87
503,1/1/2012 12:00:00 AM,West,Small Market,Earl Grey,Tea,Oregon,Regular,50,90,60,$0K,84,651,126,27,1,68,$0K,58
435,1/1/2012 12:00:00 AM,West,Small Market,Earl Grey,Tea,Utah,Regular,20,30,10,$0K,35,196,47,11,1,9,$0K,38
253,1/1/2012 12:00:00 AM,West,Small Market,Earl Grey,Tea,Washington,Regular,40,60,40,$0K,61,390,89,19,1,48,$0K,41
702,1/1/2012 12:00:00 AM,West,Small Market,Green Tea,Tea,Nevada,Regular,160,-160,-240,$0K,245,1419,-245,93,1,-354,$0K,126
541,1/1/2012 12:00:00 AM,West,Small Market,Green Tea,Tea,Oregon,Regular,50,80,50,$0K,84,500,116,26,1,67,$0K,49
435,1/1/2012 12:00:00 AM,West,Small Market,Green Tea,Tea,Utah,Regular,10,30,10,$0K,29,169,36,11,1,-9,$0K,45
360,1/1/2012 12:00:00 AM,West,Small Market,Green Tea,Tea,Washington,Regular,40,80,20,$0K,75,522,105,68,1,8,$0K,97
719,2/1/2012 12:00:00 AM,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,$0K,95,809,137,26,1,99,$0K,38
847,2/1/2012 12:00:00 AM,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,150,100,$0K,104,596,150,33,1,95,$0K,55
614,2/1/2012 12:00:00 AM,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,$0K,54,427,75,49,1,-3,$0K,78
303,2/1/2012 12:00:00 AM,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,140,90,$0K,75,549,114,24,1,59,$0K,55
312,2/1/2012 12:00:00 AM,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,$1K,228,1436,229,63,1,142,$0K,87
